spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
graffiti,urban presence,stay within familiar,negative,201311_113.83844682320864_22.579318505915754.png
highway,lack of mental detachment,prevent contemplation,negative,201311_113.84117664281987_22.637094674727816.png
vehicles,distraction from escape,hinder refuge perception,negative,201311_113.84117664281987_22.637094674727816.png
greenery,peaceful escape,respite,positive,201311_113.882861_22.6128348.png
pathways,detachment from stresses,disconnection,positive,201311_113.882861_22.6128348.png
spaces,serene environment,opportunities for respite,positive,201311_113.882861_22.6128348.png
aesthetic,feeling of detachment,escape from urban nuisances,positive,201311_113.882861_22.6128348.png
nature,partial escape from urban hustle,seeking refuge,positive,201311_113.8964295_22.5980825.png
road,not a complete refuge,awareness of everyday concerns,negative,201311_113.8964295_22.5980825.png
vehicles,visible reminders of city life,acknowledging urban presence,negative,201311_113.8964295_22.5980825.png
road,lack of refuge,difficulty disconnecting,negative,201311_113.9210168_22.637396899999995.png
barriers,increased stress,feeling overwhelmed,negative,201311_113.9210168_22.637396899999995.png
traffic,constant distraction,inability to relax,negative,201311_113.9210168_22.637396899999995.png
context,urban pressure,staying engaged with work,negative,201311_113.9210168_22.637396899999995.png
roads,lack of detachment,avoid seeking respite,negative,201311_113.91650685779294_22.599782819195894.png
traffic,connection to routines,continue daily responsibilities,negative,201311_113.91650685779294_22.599782819195894.png
signals,ongoing urban life,remain engaged with tasks,negative,201311_113.91650685779294_22.599782819195894.png
buildings,not a refuge,transit activities,negative,201311_113.8903839_22.5539715.png
greenery,lack of mental respite,routine activities,negative,201311_113.8903839_22.5539715.png
highway,not conducive to escape,avoidance of refuge,negative,201311_113.9022082_22.590201799999996.png
vehicles,associated with movement,engagement in purpose,neutral,201311_113.9022082_22.590201799999996.png
traffic,limited sense of being away,prevent mental escape,negative,201311_113.907799_22.526203099999996.png
building,evokes thoughts of routines,trigger thoughts of responsibilities,negative,201311_113.907799_22.526203099999996.png
road,incomplete escape,transient experience,negative,201311_113.90606_22.596435000000003.png
trees,visual buffer,mitigating concerns,positive,201311_113.90606_22.596435000000003.png
highway,lack of refuge,avoidance of demands,negative,201311_113.9315387_22.6072424.png
vehicles,cognitive demands,routine engagement,negative,201311_113.9315387_22.6072424.png
infrastructure,not an escape,continued stress,negative,201311_113.9315387_22.6072424.png
nature,hint of tranquility,temporary relief,neutral,201311_113.9315387_22.6072424.png
trees,moderate sense of being away,respite from urban nuisances,positive,201311_113.92134492327405_22.6301559311904.png
road,tempered feeling of escape,connection to daily life,negative,201311_113.92134492327405_22.6301559311904.png
traffic,tempered feeling of escape,connection to daily life,negative,201311_113.92134492327405_22.6301559311904.png
car,tempered feeling of escape,connection to daily life,negative,201311_113.92134492327405_22.6301559311904.png
greenery,moderate sense of being away,detachment from tasks,positive,201311_113.95997440000001_22.599463099999998.png
trees,moderate sense of being away,detachment from tasks,positive,201311_113.95997440000001_22.599463099999998.png
sky,moderate sense of being away,detachment from tasks,positive,201311_113.95997440000001_22.599463099999998.png
road,sense of detachment,move away from demands,positive,201311_113.95997440000001_22.599463099999998.png
traffic,not a complete escape,awareness of daily life,negative,201311_113.95997440000001_22.599463099999998.png
street,lack of refuge,transit,negative,201311_113.9212475061574_22.624198398318953.png
vehicles,active environment,daily functioning,negative,201311_113.9212475061574_22.624198398318953.png
traffic,not tranquil escape,obligation focus,negative,201311_113.9212475061574_22.624198398318953.png
path,moderate sense of being away,potential escape from urban life,positive,201311_113.955732_22.590690699999996.png
greenery,calm atmosphere,encourages relaxation,positive,201311_113.955732_22.590690699999996.png
buildings,limited feeling of refuge,reminds of daily responsibilities,negative,201311_113.955732_22.590690699999996.png
activity,lack of complete detachment,prevents full escape,negative,201311_113.955732_22.590690699999996.png
road,not a refuge,escape from thoughts,negative,201311_113.93390290000002_22.603255199999996.png
vehicles,functional space,concerns remain,negative,201311_113.93390290000002_22.603255199999996.png
traffic,strong sense of escape unlikely,avoidance of stress,negative,201311_113.93390290000002_22.603255199999996.png
roadway,escape from demands,relaxation,positive,201311_113.972093_22.603460099999996.png
greenery,serene atmosphere,mental clarity,positive,201311_113.972093_22.603460099999996.png
traffic,departure from nuisances,calmness,positive,201311_113.972093_22.603460099999996.png
greenery,sense of escape,detach from daily demands,positive,201311_113.97217166373336_22.598046834891043.png
trees,calmness,clear mind,positive,201311_113.97217166373336_22.598046834891043.png
road,respite from urban hustle,seek tranquility,positive,201311_113.97217166373336_22.598046834891043.png
wooded areas,enclosed nature,escape city life,positive,201311_113.97217166373336_22.598046834891043.png
buildings,not a refuge,difficult to disengage,negative,201311_113.9785024_22.6241635.png
traffic,actively stimulating,hard to focus,negative,201311_113.9785024_22.6241635.png
activity,busy environment,challenging to rest,negative,201311_113.9785024_22.6241635.png
street,not a refuge,difficulty escaping thoughts,negative,201311_113.9787376_22.589872099999997.png
traffic,feeling of public activity,inability to mentally disengage,negative,201311_113.9787376_22.589872099999997.png
commercial,active space,struggle with everyday responsibilities,negative,201311_113.9787376_22.589872099999997.png
vegetation,escape from urban nuisances,detachment from routine,positive,201311_113.9824091_22.594394199999996.png
pathway,separation from city life,taking a break,positive,201311_113.9824091_22.594394199999996.png
urban elements,visible demands of city life,awareness of routine concerns,negative,201311_113.9824091_22.594394199999996.png
road,not a refuge,no escape,negative,201311_113.9874162_22.598817899999997.png
vehicles,associated stresses,no mental disengagement,negative,201311_113.9874162_22.598817899999997.png
environment,part of everyday life,no sanctuary,negative,201311_113.9874162_22.598817899999997.png
buildings,moderate sense of being away,not a complete refuge,neutral,201311_113.9934289_22.598725899999998.png
roads,connection to regular life,implies ongoing urban development,negative,201311_113.9934289_22.598725899999998.png
greenery,moderate sense of being away,seeking refuge,positive,201311_113.9956108_22.602901100000004.png
water,moderate sense of being away,seeking refuge,positive,201311_113.9956108_22.602901100000004.png
buildings,not entirely removed from daily demands,limited escape,negative,201311_113.9956108_22.602901100000004.png
roads,not entirely removed from daily demands,limited escape,negative,201311_113.9956108_22.602901100000004.png
cars,doesn't strongly signal an escape,limited escape,negative,201311_113.9956108_22.602901100000004.png
construction,lack of detachment,continued engagement,negative,201311_113.9849525_22.597865099999996.png
signage,lack of tranquility,task-oriented actions,negative,201311_113.9849525_22.597865099999996.png
infrastructure,active environment,focus on responsibilities,negative,201311_113.9849525_22.597865099999996.png
urban,not a refuge,avoidance of relaxation,negative,201311_113.9849525_22.597865099999996.png
trees,sense of detachment,mental disengagement,positive,201311_113.97215286575438_22.599851368800312.png
ambiance,peaceful atmosphere,feeling of escape,positive,201311_113.97215286575438_22.599851368800312.png
vehicles,limited sense of being away,transit and activity,negative,201311_114.010794_22.5554258.png
greenery,slight contrast to urban environments,mental escape,neutral,201311_114.010794_22.5554258.png
environment,lack of strong detachment,none,negative,201311_114.010794_22.5554258.png
street,not a refuge,avoidance of stress,negative,201311_114.00419846671053_22.673102084815238.png
construction,lack of tranquility,distraction from thoughts,negative,201311_114.00419846671053_22.673102084815238.png
environment,functional,minimal engagement,negative,201311_114.00419846671053_22.673102084815238.png
greenery,sense of escape,mental detachment,positive,201311_113.9934635_22.605469299999996.png
sky,feeling of refuge,stress relief,positive,201311_113.9934635_22.605469299999996.png
road,separation from concerns,enhanced focus,positive,201311_113.9934635_22.605469299999996.png
buildings,lack of escape,no refuge seeking,negative,201311_113.9978764_22.603342699999995.png
roads,active environment,engagement with surroundings,neutral,201311_113.9978764_22.603342699999995.png
infrastructure,urban setting,potential activity,neutral,201311_113.9978764_22.603342699999995.png
elements,absence of nature,lack of relaxation,negative,201311_113.9978764_22.603342699999995.png
seclusion,lack of privacy,no withdrawal,negative,201311_113.9978764_22.603342699999995.png
trees,calm atmosphere,moderate sense of being away,positive,201311_114.0367137_22.625328199999995.png
buildings,sense of everyday life,not feeling like an escape,negative,201311_114.0367137_22.625328199999995.png
vehicles,active environment,suggests activity,negative,201311_114.0367137_22.625328199999995.png
greenery,not a wilderness,lack of retreat space,negative,201311_114.0367137_22.625328199999995.png
intersection,difficult to feel removed,engaged with surroundings,negative,201311_114.108805_22.539949000000004.png
traffic,constant activity,focused on tasks,negative,201311_114.108805_22.539949000000004.png
urban,not a refuge,mental disengagement,negative,201311_114.108805_22.539949000000004.png
street,not a refuge,difficulty disconnecting,negative,201311_114.1329892_22.5822593.png
traffic,stressful environment,increased anxiety,negative,201311_114.1329892_22.5822593.png
activity,lack of mental respite,continuation of urban grind,negative,201311_114.1329892_22.5822593.png
street,lack of mental escape,difficulty in detachment,negative,201311_114.07813510000001_22.5592236.png
cars,distraction from tasks,increased focus on daily life,negative,201311_114.07813510000001_22.5592236.png
shops,busy environment,engagement with public space,neutral,201311_114.07813510000001_22.5592236.png
pedestrians,active public space,observation of daily life,neutral,201311_114.07813510000001_22.5592236.png
vehicles,detracted sense of escape,less engagement with nature,negative,201311_114.0918839_22.580004399999996.png
urban,lack of refuge,continued routine activities,negative,201311_114.0918839_22.580004399999996.png
natural,mixed feelings of comfort,limited exploration,neutral,201311_114.0918839_22.580004399999996.png
industrial,increased stress,avoidance of the area,negative,201311_114.0918839_22.580004399999996.png
trees,slight sense of escape,temporary relief from urban demands,positive,201311_114.1260936_22.5848949.png
roadway,embedded in daily life,continuation of daily tasks,negative,201311_114.1260936_22.5848949.png
construction,presence of nuisances,distraction from relaxation,negative,201311_114.1260936_22.5848949.png
hills,distant view,momentary distraction,neutral,201311_114.1260936_22.5848949.png
street,limited sense of being away,lack of escape,negative,201311_114.0363794_22.549060799999996.png
construction,not a peaceful refuge,increased stress,negative,201311_114.0363794_22.549060799999996.png
traffic,detachment from usual concerns,distraction from relaxation,negative,201311_114.0363794_22.549060799999996.png
trees,break from built environment,seeking relaxation,positive,201311_114.1331646_22.6036264.png
shade,sense of comfort,spending time outdoors,positive,201311_114.1331646_22.6036264.png
pedestrians,departure from urban demands,engaging with community,positive,201311_114.1331646_22.6036264.png
infrastructure,limited escape,feeling constrained,negative,201311_114.1331646_22.6036264.png
trees,potential escape from urban bustle,seek refuge,positive,201311_114.13313586110559_22.60543104368196.png
roads,limits feeling of complete refuge,avoid detachment,negative,201311_114.13313586110559_22.60543104368196.png
vehicles,limits feeling of complete refuge,avoid detachment,negative,201311_114.13313586110559_22.60543104368196.png
fencing,limits feeling of complete refuge,avoid detachment,negative,201311_114.13313586110559_22.60543104368196.png
street,source of demands,avoid seeking refuge,negative,201311_114.1398083_22.565269999999995.png
traffic,not tranquil,avoid escape,negative,201311_114.1398083_22.565269999999995.png
development,ongoing nuisances,not seeking out,negative,201311_114.1398083_22.565269999999995.png
trees,respite from urban nuisances,escape from daily demands,positive,201311_114.13318312310899_22.60182164061621.png
seclusion,sense of escape,mental break from tasks,positive,201311_114.13318312310899_22.60182164061621.png
separation,clear distinction between areas,enhanced pedestrian experience,positive,201311_114.13318312310899_22.60182164061621.png
natural elements,mental refreshment,relaxation from city life,positive,201311_114.13318312310899_22.60182164061621.png
environment,strong sense of escape,seeking refuge,positive,201311_114.1422458_22.573539200000006.png
scenery,clear separation from responsibilities,disengaging from routines,positive,201311_114.1422458_22.573539200000006.png
streetscape,limited restorative potential,escape demanding thoughts,negative,201311_114.158799_22.6090681.png
traffic,lack of peace,avoid distractions,negative,201311_114.158799_22.6090681.png
buildings,not a true refuge,find tranquility,negative,201311_114.158799_22.6090681.png
pedestrian activity,usual distractions,seek solitude,negative,201311_114.158799_22.6090681.png
road,lack of escape,avoidance of stress,negative,201311_114.1664523_22.6055109.png
traffic,overwhelmed feeling,increased anxiety,negative,201311_114.1664523_22.6055109.png
water,minimal relaxation,limited respite,neutral,201311_114.1664523_22.6055109.png
greenery,insufficient tranquility,lack of engagement,negative,201311_114.1664523_22.6055109.png
urban,active connection,social interaction,positive,201311_114.1664523_22.6055109.png
trees,respite from urban hustle,seeking relaxation,positive,201311_114.14111260000001_22.612017599999994.png
sunlight,sense of warmth and comfort,enjoying outdoor spaces,positive,201311_114.14111260000001_22.612017599999994.png
street,active urban environment,engaging with city life,negative,201311_114.14111260000001_22.612017599999994.png
traffic,stress from noise and congestion,avoiding busy areas,negative,201311_114.14111260000001_22.612017599999994.png
buildings,lack of escape,searching for tranquility,negative,201311_114.14111260000001_22.612017599999994.png
homes,respite from urban nuisances,seeking comfort,positive,201311_114.1699075_22.572947699999997.png
greenery,departure from everyday life,relaxation,positive,201311_114.1699075_22.572947699999997.png
road,reminders of daily routines,distraction,negative,201311_114.1699075_22.572947699999997.png
cars,urban settings,stress response,negative,201311_114.1699075_22.572947699999997.png
built environment,incomplete sense of escape,frustration,negative,201311_114.1699075_22.572947699999997.png
traffic,lack of refuge,continued engagement,negative,201311_114.1708255_22.6072058.png
structures,active urban life,functional use,neutral,201311_114.1708255_22.6072058.png
crossings,limited mental disengagement,navigating space,negative,201311_114.1708255_22.6072058.png
cars,urban functionality,daily responsibilities,negative,201311_114.1708255_22.6072058.png
green,calm atmosphere,feeling of escape,positive,201311_114.1753739_22.602115699999995.png
road,degree of separation,providing a pathway,neutral,201311_114.1753739_22.602115699999995.png
vegetation,feeling of refuge,momentarily disconnect,positive,201311_114.1712754_22.5966659.png
pathway,sense of being away,escape urban nuisances,positive,201311_114.1712754_22.5966659.png
truck,less bustling environment,reduce daily demands,positive,201311_114.1712754_22.5966659.png
bicycles,calm atmosphere,enjoy tranquility,positive,201311_114.1712754_22.5966659.png
highway,limited escape,disconnect from demands,negative,201311_114.1766153913743_22.62211635756483.png
surroundings,potential refuge,seek tranquility,positive,201311_114.1766153913743_22.62211635756483.png
nature,mental escape,break from responsibilities,positive,201311_114.1715729_22.579913799999993.png
environment,serene environment,facilitates relaxation,positive,201311_114.1715729_22.579913799999993.png
road,sense of being away,mental escape,positive,201311_114.16919617982792_22.62714279983004.png
sky,mental escape,partial escape,positive,201311_114.16919617982792_22.62714279983004.png
traffic,not a complete refuge,awareness of external stimuli,negative,201311_114.16919617982792_22.62714279983004.png
greenery,sense of escape,mentally disengage,positive,201311_114.1856469_22.5908533.png
hillsides,respite,escape daily demands,positive,201311_114.1856469_22.5908533.png
sky,departure from nuisances,relaxation,positive,201311_114.1856469_22.5908533.png
traffic,sparse environment,enjoy open space,positive,201311_114.1856469_22.5908533.png
road,open feeling,explore,positive,201311_114.1856469_22.5908533.png
street,lack of escape,avoidance of usual concerns,negative,201311_114.186989_22.595263999999997.png
infrastructure,sense of confinement,increased stress,negative,201311_114.186989_22.595263999999997.png
greenery,sense of being away,mental escape,positive,201311_114.1832046_22.5984266.png
sunlight,calm atmosphere,temporary refuge,positive,201311_114.1832046_22.5984266.png
traffic,not completely isolated,interaction with environment,neutral,201311_114.1832046_22.5984266.png
trees,tranquil atmosphere,temporary reprieve,positive,201311_114.176878_22.581670799999998.png
shade,removed atmosphere,escape from demands,positive,201311_114.176878_22.581670799999998.png
bus,tranquil atmosphere,temporary reprieve,positive,201311_114.176878_22.581670799999998.png
barriers,lack of refuge,avoidance of stress,negative,201312_113.7839461_22.716497199999996.png
environment,functional feeling,continuation of responsibilities,negative,201312_113.7839461_22.716497199999996.png
tunnel,not a refuge,focus on transit,negative,201311_114.231161_22.596456399999994.png
infrastructure,functional space,not a retreat,negative,201311_114.231161_22.596456399999994.png
highway,not a true refuge,transit,negative,201311_114.1860739_22.6130437.png
hills,visual break,temporary escape,positive,201311_114.1860739_22.6130437.png
greenery,visual break,temporary escape,positive,201311_114.1860739_22.6130437.png
vehicles,constant flow,travel,negative,201311_114.1860739_22.6130437.png
infrastructure,reminder of daily routines,lack of escape,negative,201312_113.78218214006371_22.68964439788343.png
roads,sense of urban nuisances,avoidance of respite,negative,201312_113.78218214006371_22.68964439788343.png
buildings,demands of tasks,stress response,negative,201312_113.78218214006371_22.68964439788343.png
infrastructure,lack of refuge,avoidance of space,negative,201312_113.78476114628427_22.697658317071774.png
construction,disruption of peace,withdrawal from area,negative,201312_113.78476114628427_22.697658317071774.png
street,deserted feeling,hesitation to engage,negative,201312_113.78476114628427_22.697658317071774.png
areas,lack of escape,disinterest in exploring,negative,201312_113.78476114628427_22.697658317071774.png
street,lack of refuge,engagement with environment,negative,201312_113.8278184_22.7315766.png
traffic,stressful atmosphere,avoidance of the area,negative,201312_113.8278184_22.7315766.png
shops,commercial engagement,shopping or socializing,neutral,201312_113.8278184_22.7315766.png
pedestrians,busy environment,movement through space,neutral,201312_113.8278184_22.7315766.png
street,difficult to feel detached,remain engaged with daily life,negative,201312_113.83443584337306_22.74126975401547.png
buildings,no significant escape,continue routine activities,negative,201312_113.83443584337306_22.74126975401547.png
traffic,connection to routine world,stay within daily concerns,negative,201312_113.83443584337306_22.74126975401547.png
signs,not a refuge,avoid relaxation,negative,201312_113.83443584337306_22.74126975401547.png
traffic,potential stress,difficulty detaching,negative,201312_113.830443_22.644925700000005.png
roads,not a refuge,navigating urban traffic,negative,201312_113.830443_22.644925700000005.png
infrastructure,urban ambiance,increased activity,negative,201312_113.830443_22.644925700000005.png
streetscape,lack of escape,avoidance of daily concerns,negative,201312_113.83572026600113_22.73146253989801.png
shops,overstimulation,increased activity,negative,201312_113.83572026600113_22.73146253989801.png
traffic,stress,distraction from relaxation,negative,201312_113.83572026600113_22.73146253989801.png
urban atmosphere,mental demands,inability to relax,negative,201312_113.83572026600113_22.73146253989801.png
store,not a true refuge,lack of escape,negative,201312_113.8360353_22.761185699999995.png
cars,active urban environment,engagement with surroundings,neutral,201312_113.8360353_22.761185699999995.png
poles,lack of tranquility,increased awareness of tasks,negative,201312_113.8360353_22.761185699999995.png
wires,disruption of peace,focus on daily nuisances,negative,201312_113.8360353_22.761185699999995.png
street,lack of tranquility,inability to escape,negative,201312_113.8235017_22.698809100000002.png
traffic,engagement with pressures,increased stress,negative,201312_113.8235017_22.698809100000002.png
shops,overstimulation,distraction from relaxation,negative,201312_113.8235017_22.698809100000002.png
signage,visual clutter,decreased focus,negative,201312_113.8235017_22.698809100000002.png
pedestrians,crowdedness,avoidance of space,negative,201312_113.8235017_22.698809100000002.png
street,not a refuge,continue daily activities,negative,201312_113.8409926803816_22.75012227013069.png
cars,busy environment,engage in tasks,negative,201312_113.8409926803816_22.75012227013069.png
pedestrians,crowded feeling,move quickly,negative,201312_113.8409926803816_22.75012227013069.png
commercial,demanding atmosphere,participate in commerce,negative,201312_113.8409926803816_22.75012227013069.png
street,lack of escape,avoidance of refuge,negative,201312_113.8346455_22.695685499999996.png
traffic,overwhelmed by activity,increased stress,negative,201312_113.8346455_22.695685499999996.png
buildings,urban confinement,limited relaxation,negative,201312_113.8346455_22.695685499999996.png
greenery,sense of escape,mental break,positive,201312_113.83914327807292_22.754952015391464.png
trees,feeling of removal,stress relief,positive,201312_113.83914327807292_22.754952015391464.png
sky,sunny disposition,enhanced mood,positive,201312_113.83914327807292_22.754952015391464.png
streetscape,limited sense of being away,not escaping thoughts,negative,201312_113.85651230262431_22.656305210826364.png
traffic,stressful environment,increased anxiety,negative,201312_113.85651230262431_22.656305210826364.png
construction,disruption of peace,avoidance of area,negative,201312_113.85651230262431_22.656305210826364.png
traffic,lack of escape,routine obligations,negative,201312_113.83718987956412_22.73739513103713.png
buildings,mental detachment hindered,daily stressors,negative,201312_113.83718987956412_22.73739513103713.png
infrastructure,sense of obligation,engagement in city activities,negative,201312_113.83718987956412_22.73739513103713.png
sky,open space,limited mental relief,neutral,201312_113.83718987956412_22.73739513103713.png
greenery,peaceful atmosphere,escape from daily demands,positive,201312_113.8374755_22.647390599999994.png
intersection,sense of separation,distract from immediate concerns,positive,201312_113.8374755_22.647390599999994.png
nature,feeling of being away,contribute to relaxation,positive,201312_113.8374755_22.647390599999994.png
greenery,moderate sense of being away,partial escape from urban nuisability,positive,201312_113.8530002_22.568199100000005.png
playground,degree of respite,encourages relaxation,positive,201312_113.8530002_22.568199100000005.png
buildings,not entirely removed from daily life,reminds of urban demands,negative,201312_113.8530002_22.568199100000005.png
infrastructure,suggests urban presence,limits complete detachment,negative,201312_113.8530002_22.568199100000005.png
greenery,sense of being away,momentary escape,positive,201312_113.85777283738314_22.642709229323334.png
trees,separation from daily life,escape nuisances,positive,201312_113.85777283738314_22.642709229323334.png
mountains,feeling of detachment,temporary retreat,positive,201312_113.85777283738314_22.642709229323334.png
roads,not complete wilderness,awareness of surroundings,negative,201312_113.85777283738314_22.642709229323334.png
infrastructure,tempered detachment,acknowledgment of daily concerns,negative,201312_113.85777283738314_22.642709229323334.png
trees,moderate sense of being away,brief mental departure,positive,201312_113.8578372_22.5682381.png
greenery,slight refuge,escape from urban demands,positive,201312_113.8578372_22.5682381.png
slope,visual separation,reduce daily concerns,positive,201312_113.8578372_22.5682381.png
cars,inhabited area,engagement with daily life,neutral,201312_113.8574523_22.571860800000003.png
buildings,functional space,continuation of routine,neutral,201312_113.8574523_22.571860800000003.png
power lines,urban presence,acceptance of environment,negative,201312_113.8574523_22.571860800000003.png
quiet,sense of calm,temporary respite,positive,201312_113.8574523_22.571860800000003.png
roads,not conducive to being away,increased distractions,negative,201312_113.85980904184744_22.648029621847705.png
vehicles,not a refuge,escape from responsibilities,negative,201312_113.85980904184744_22.648029621847705.png
buildings,filled with demands,lack of relaxation,negative,201312_113.85980904184744_22.648029621847705.png
road,lack of refuge,seeking escape,negative,201312_113.876258209507_22.67064777876147.png
traffic,stress,avoiding the area,negative,201312_113.876258209507_22.67064777876147.png
infrastructure,functional detachment,not lingering,negative,201312_113.876258209507_22.67064777876147.png
traffic,lack of peace,avoidance of thoughts,negative,201312_113.860416_22.5694392.png
commercial,stressful environment,escape from daily life,negative,201312_113.860416_22.5694392.png
natural,unfulfilled need for tranquility,desire for refuge,negative,201312_113.860416_22.5694392.png
trees,not a clear refuge,continuation of everyday life,negative,201312_113.8659038_22.605222400000002.png
traffic,sense of escape lacking,engagement in daily activities,negative,201312_113.8659038_22.605222400000002.png
buildings,urban nuisances present,no detachment from environment,negative,201312_113.8659038_22.605222400000002.png
pedestrian,ongoing activity,participation in urban life,negative,201312_113.8659038_22.605222400000002.png
road,not a refuge,continuation of activity,negative,201312_113.88293720000001_22.8212419.png
traffic,ongoing obligations,inability to escape,negative,201312_113.88293720000001_22.8212419.png
highway,sense of distance,lack of contemplation,negative,201312_113.88293720000001_22.8212419.png
traffic,feeling of being overwhelmed,avoidance of stress,negative,201312_113.8877873_22.674002400000003.png
buildings,lack of mental escape,increased focus on daily routines,negative,201312_113.8877873_22.674002400000003.png
pedestrians,sense of busyness,engagement in daily activities,neutral,201312_113.8877873_22.674002400000003.png
vehicles,lack of quietude,avoidance of space,negative,201312_113.8844253_22.668941099999998.png
signage,continuous demand for attention,distraction from relaxation,negative,201312_113.8844253_22.668941099999998.png
pedestrians,not a refuge,increased stress,negative,201312_113.8844253_22.668941099999998.png
streetscape,focused on daily tasks,engagement with surroundings,negative,201312_113.8966185193665_22.67673893440902.png
traffic,not a refuge,routine activities,negative,201312_113.8966185193665_22.67673893440902.png
buildings,demands on thoughts,practical engagement,negative,201312_113.8966185193665_22.67673893440902.png
environment,lack of mental detachment,continued routine,negative,201312_113.8966185193665_22.67673893440902.png
road,not a refuge,difficult to disconnect,negative,201312_113.9001954_22.673202699999997.png
gas station,active environment,not a tranquil escape,negative,201312_113.9001954_22.673202699999997.png
traffic,ongoing concerns,distracted from responsibilities,negative,201312_113.9001954_22.673202699999997.png
highway,lack of refuge,continued commuting,negative,201312_113.89200644069061_22.81193671333176.png
infrastructure,sense of confinement,avoidance of relaxation,negative,201312_113.89200644069061_22.81193671333176.png
walkway,sense of being away from daily stressors,mental escape,positive,201312_113.9104919_22.707616799999997.png
trees,mental escape,relaxation,positive,201312_113.9104919_22.707616799999997.png
traffic,diminished feeling of refuge,avoidance,negative,201312_113.9104919_22.707616799999997.png
greenery,calm environment,limited escape,negative,201312_113.9201526_22.757344299999996.png
traffic,not a true refuge,increased stress,negative,201312_113.9201526_22.757344299999996.png
infrastructure,transit space,distraction from concerns,negative,201312_113.9201526_22.757344299999996.png
road,sense of detachment,escape from urban demands,positive,201312_113.92843742482079_22.742538568001862.png
vegetation,sense of detachment,escape from urban demands,positive,201312_113.92843742482079_22.742538568001862.png
traffic,limited escape,stay aware of immediate concerns,negative,201312_113.92843742482079_22.742538568001862.png
construction,limited escape,stay aware of immediate concerns,negative,201312_113.92843742482079_22.742538568001862.png
pathway,potential escape,mental retreat,positive,201312_113.89281280000002_22.556411099999995.png
trees,peaceful environment,relaxation,positive,201312_113.89281280000002_22.556411099999995.png
spaces,degree of separation,stress relief,positive,201312_113.89281280000002_22.556411099999995.png
infrastructure,orderliness,comfort,positive,201312_113.89281280000002_22.556411099999995.png
fields,temporary escape,seeking refuge,positive,201312_113.9319524_22.7820153.png
roads,limited feeling of being away,feeling constrained,negative,201312_113.9319524_22.7820153.png
buildings,lack of refuge,avoiding the area,negative,201312_113.9319524_22.7820153.png
sky,sense of openness,enjoying the view,positive,201312_113.9319524_22.7820153.png
vehicles,distraction from nature,feeling overwhelmed,negative,201312_113.9319524_22.7820153.png
intersection,not a refuge,engaged in transit,negative,201312_113.9332992_22.683222899999997.png
traffic,sense of activity,moving through space,neutral,201312_113.9332992_22.683222899999997.png
buildings,lack of respite,participating in urban life,negative,201312_113.9332992_22.683222899999997.png
greenery,somewhat tranquil,seeking refuge,positive,201312_113.92896073426577_22.788379996341252.png
buildings,busy area,engaging with urban life,neutral,201312_113.92896073426577_22.788379996341252.png
power lines,functional environment,accepting urban realities,negative,201312_113.92896073426577_22.788379996341252.png
road,not a complete escape,continuing daily routine,negative,201312_113.92896073426577_22.788379996341252.png
vehicles,sense of busyness,participating in urban activity,neutral,201312_113.92896073426577_22.788379996341252.png
machinery,nuisance,avoidance,negative,201312_113.93568964381272_22.79704532316997.png
