spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
barriers,limited perception,restricted exploration,negative,201311_113.9022082_22.590201799999996.png
road,focus on immediate path,narrowed travel options,neutral,201311_113.9022082_22.590201799999996.png
roads,degree of openness,movement,positive,201311_113.907799_22.526203099999996.png
buildings,perceived boundaries,restricted exploration,negative,201311_113.907799_22.526203099999996.png
sidewalks,moderate environment,walking,neutral,201311_113.907799_22.526203099999996.png
fences,imposed limits,hesitation to explore,negative,201311_113.907799_22.526203099999996.png
traffic,sense of danger,caution in movement,negative,201311_113.907799_22.526203099999996.png
pathway,well-defined route,navigating urban space,positive,201311_113.907799_22.526203099999996.png
road,possibility of movement,exploration,positive,201311_113.90606_22.596435000000003.png
vegetation,sense of openness,navigate surroundings,positive,201311_113.90606_22.596435000000003.png
fences,limitations on freedom,hesitation to explore,negative,201311_113.90606_22.596435000000003.png
urban elements,bounded environment,restrictive movement,negative,201311_113.90606_22.596435000000003.png
highway,sense of openness,exploration,positive,201311_113.9315387_22.6072424.png
landscapes,feeling of vastness,movement,positive,201311_113.9315387_22.6072424.png
hills,curiosity,exploration,positive,201311_113.9315387_22.6072424.png
greenery,connection to nature,leisure activities,positive,201311_113.9315387_22.6072424.png
trees,sense of spaciousness,exploration,positive,201311_113.92134492327405_22.6301559311904.png
road,sense of openness,movement,positive,201311_113.92134492327405_22.6301559311904.png
wooded area,hint of expansiveness,curiosity,positive,201311_113.92134492327405_22.6301559311904.png
road,ample space for exploration,movement and discovery,positive,201311_113.95997440000001_22.599463099999998.png
sidewalks,sense of freedom,exploration,positive,201311_113.95997440000001_22.599463099999998.png
lanes,feeling of expanse,movement,positive,201311_113.95997440000001_22.599463099999998.png
pathways,sense of openness,discovery,positive,201311_113.95997440000001_22.599463099999998.png
trees,feeling of expanse,exploration,positive,201311_113.95997440000001_22.599463099999998.png
street,limited exploration,avoidance of exploration,negative,201311_113.9212475061574_22.624198398318953.png
sidewalks,constrained movement,hesitation to explore,negative,201311_113.9212475061574_22.624198398318953.png
cars,sense of boundaries,reduced curiosity,negative,201311_113.9212475061574_22.624198398318953.png
sky,feeling of openness,increased desire for freedom,positive,201311_113.9212475061574_22.624198398318953.png
path,feeling of spaciousness,movement and exploration,positive,201311_113.955732_22.590690699999996.png
road,sense of openness,discovering new areas,positive,201311_113.955732_22.590690699999996.png
sidewalks,comfort in navigation,encouraging walking,positive,201311_113.955732_22.590690699999996.png
sky,feeling of freedom,exploration,positive,201311_113.955732_22.590690699999996.png
boundaries,lack of restriction,enhanced movement,positive,201311_113.955732_22.590690699999996.png
highway,sense of forward progression,movement along the road,positive,201311_113.93390290000002_22.603255199999996.png
trees,suggestion of breadth,exploration of surroundings,positive,201311_113.93390290000002_22.603255199999996.png
road,implicit boundaries,limited exploration,negative,201311_113.93390290000002_22.603255199999996.png
lanes,confinement of movement,restricted exploration,negative,201311_113.93390290000002_22.603255199999996.png
road,sense of openness,exploration,positive,201311_113.972093_22.603460099999996.png
green spaces,feeling of tranquility,movement,positive,201311_113.972093_22.603460099999996.png
pathways,invitation to discover,discovery,positive,201311_113.972093_22.603460099999996.png
road,sense of freedom,exploration,positive,201311_113.97217166373336_22.598046834891043.png
area,possibilities for movement,discovery,positive,201311_113.97217166373336_22.598046834891043.png
path,implied adventure,journeying,positive,201311_113.97217166373336_22.598046834891043.png
woods,curiosity,exploration,positive,201311_113.97217166373336_22.598046834891043.png
buildings,sense of enclosure,limited exploration,negative,201311_113.9785024_22.6241635.png
street,well-defined path,encouraged movement,positive,201311_113.9785024_22.6241635.png
urban infrastructure,structured environment,navigational ease,positive,201311_113.9785024_22.6241635.png
traffic,sense of activity,cautious engagement,neutral,201311_113.9785024_22.6241635.png
street,sense of confinement,limited exploration,negative,201311_113.9787376_22.589872099999997.png
buildings,feeling of boundaries,restricted movement,negative,201311_113.9787376_22.589872099999997.png
sidewalks,sense of linearity,following a path,neutral,201311_113.9787376_22.589872099999997.png
pathway,sense of spaciousness,exploration,positive,201311_113.9824091_22.594394199999996.png
trees,room to move,movement,positive,201311_113.9824091_22.594394199999996.png
fences,visible boundaries,restricted movement,negative,201311_113.9824091_22.594394199999996.png
buildings,impression of large area,exploration in multiple directions,positive,201311_113.9824091_22.594394199999996.png
street,sense of movement,traversing the space,positive,201311_113.9874162_22.598817899999997.png
buildings,visual depth,exploring surroundings,positive,201311_113.9874162_22.598817899999997.png
hillside,aesthetic appreciation,enjoying the view,positive,201311_113.9874162_22.598817899999997.png
roadway,limited exploration,simply traversing,negative,201311_113.9874162_22.598817899999997.png
roads,sense of openness,encouragement to explore,positive,201311_113.9934289_22.598725899999998.png
buildings,feeling of unconfined space,movement towards larger areas,positive,201311_113.9934289_22.598725899999998.png
green,calming environment,desire to engage with nature,positive,201311_113.9934289_22.598725899999998.png
pathways,invitation for exploration,walking and discovering,positive,201311_113.9934289_22.598725899999998.png
road,limited exploration,reduced movement,negative,201311_113.9956108_22.602901100000004.png
buildings,defined boundaries,restricted exploration,negative,201311_113.9956108_22.602901100000004.png
water,danger indication,avoidance behavior,negative,201311_113.9956108_22.602901100000004.png
landscaped areas,limited possibilities,hesitation to explore,negative,201311_113.9956108_22.602901100000004.png
road,potential for movement,exploration,positive,201311_113.9849525_22.597865099999996.png
sidewalks,sense of scale,movement,positive,201311_113.9849525_22.597865099999996.png
fences,limited exploration,restricted movement,negative,201311_113.9849525_22.597865099999996.png
boundaries,implied restrictions,cautious navigation,negative,201311_113.9849525_22.597865099999996.png
built environment,visible extent,curiosity,neutral,201311_113.9849525_22.597865099999996.png
trees,sense of exploration,wander and discover,positive,201311_113.97215286575438_22.599851368800312.png
sidewalks,sense of freedom,movement,positive,201311_113.97215286575438_22.599851368800312.png
wooded area,sense of openness,exploration,positive,201311_113.97215286575438_22.599851368800312.png
road,constrained exploration,limited movement,negative,201311_114.010794_22.5554258.png
buildings,sense of confinement,restricted exploration,negative,201311_114.010794_22.5554258.png
traffic,feeling of danger,avoidance of areas,negative,201311_114.010794_22.5554258.png
boundaries,lack of freedom,hesitation to explore,negative,201311_114.010794_22.5554258.png
street,sense of openness,exploration in multiple directions,positive,201311_114.00419846671053_22.673102084815238.png
buildings,potential for movement,further exploration,positive,201311_114.00419846671053_22.673102084815238.png
road,sense of vastness,exploration,positive,201311_113.9934635_22.605469299999996.png
greenery,feeling of space,exploration,positive,201311_113.9934635_22.605469299999996.png
mountains,broader area to explore,exploration,positive,201311_113.9934635_22.605469299999996.png
sky,sense of openness,exploration,positive,201311_113.9934635_22.605469299999996.png
pathways,reasonable feeling of space,exploration,positive,201311_113.9934635_22.605469299999996.png
roads,sense of exploration,encourages movement,positive,201311_113.9978764_22.603342699999995.png
spaces,feeling of openness,promotes wandering,positive,201311_113.9978764_22.603342699999995.png
infrastructure,sense of limitation,restricts exploration,negative,201311_113.9978764_22.603342699999995.png
buildings,feeling of confinement,discourages movement,negative,201311_113.9978764_22.603342699999995.png
trees,sense of nature,encourages exploration,positive,201311_114.0367137_22.625328199999995.png
buildings,feeling of confinement,limits exploration,negative,201311_114.0367137_22.625328199999995.png
fences,sense of restriction,discourages movement,negative,201311_114.0367137_22.625328199999995.png
road,pathway for movement,facilitates navigation,positive,201311_114.0367137_22.625328199999995.png
complex,feeling of community,promotes social interaction,positive,201311_114.0367137_22.625328199999995.png
intersection,sense of openness,exploration,positive,201311_114.108805_22.539949000000004.png
roads,freedom of movement,navigating,positive,201311_114.108805_22.539949000000004.png
sidewalks,safety,walking,positive,201311_114.108805_22.539949000000004.png
buildings,urban familiarity,exploring surroundings,positive,201311_114.108805_22.539949000000004.png
buildings,limited exploration,walking along sidewalk,negative,201311_114.1329892_22.5822593.png
traffic,constrained movement,hesitation to explore,negative,201311_114.1329892_22.5822593.png
infrastructure,lack of openness,restricted navigation,negative,201311_114.1329892_22.5822593.png
buildings,sense of boundaries,limited exploration,negative,201311_114.07813510000001_22.5592236.png
roads,feeling of confinement,restricted movement,negative,201311_114.07813510000001_22.5592236.png
pathways,sense of direction,navigating within limits,neutral,201311_114.07813510000001_22.5592236.png
commercial areas,sense of activity,engaging with surroundings,positive,201311_114.07813510000001_22.5592236.png
road,limited exploration,restricted movement,negative,201311_114.0918839_22.580004399999996.png
cliff,uninviting environment,avoidance of area,negative,201311_114.0918839_22.580004399999996.png
debris,sense of boundaries,hesitation to explore,negative,201311_114.0918839_22.580004399999996.png
fence,feeling of confinement,limited wandering,negative,201311_114.0918839_22.580004399999996.png
landscape,transitional zone,lack of engagement,negative,201311_114.0918839_22.580004399999996.png
road,potential for exploration,movement,positive,201311_114.1260936_22.5848949.png
slopes,sense of openness,exploration,positive,201311_114.1260936_22.5848949.png
urban,sense of limitation,hesitation to explore,negative,201311_114.1260936_22.5848949.png
buildings,moderate sense of scope,exploration,positive,201311_114.0363794_22.549060799999996.png
greenery,suggests pathways,movement,positive,201311_114.0363794_22.549060799999996.png
roads,allows for movement,navigation,positive,201311_114.0363794_22.549060799999996.png
sidewalks,facilitates movement,walking,positive,201311_114.0363794_22.549060799999996.png
construction,limits feeling of exploration,hesitation,negative,201311_114.0363794_22.549060799999996.png
buildings,restricted exploration,limited movement,negative,201311_114.1331646_22.6036264.png
vehicles,constrained freedom,hesitant walking,negative,201311_114.1331646_22.6036264.png
stalls,defined space,navigating through,negative,201311_114.1331646_22.6036264.png
street,sense of direction,walking down,neutral,201311_114.1331646_22.6036264.png
road,sense of potential exploration,exploration,positive,201311_114.13313586110559_22.60543104368196.png
fences,limited feeling of unbounded space,restricted movement,negative,201311_114.13313586110559_22.60543104368196.png
structures,limited freedom for movement,hesitation to explore,negative,201311_114.13313586110559_22.60543104368196.png
street,limited exploration,restricted movement,negative,201311_114.1398083_22.565269999999995.png
buildings,urban confinement,hesitant navigation,negative,201311_114.1398083_22.565269999999995.png
traffic,stressful environment,avoidance of areas,negative,201311_114.1398083_22.565269999999995.png
barriers,sense of obstruction,reduced exploration,negative,201311_114.1398083_22.565269999999995.png
roads,structured movement,following paths,neutral,201311_114.1398083_22.565269999999995.png
trees,defined route,exploration,positive,201311_114.13318312310899_22.60182164061621.png
walls,limited exploration,hesitation,negative,201311_114.13318312310899_22.60182164061621.png
buildings,framed surroundings,moderate engagement,neutral,201311_114.13318312310899_22.60182164061621.png
path,sense of exploration,wander further,positive,201311_114.1422458_22.573539200000006.png
trees,inviting atmosphere,engage with nature,positive,201311_114.1422458_22.573539200000006.png
vegetation,implied boundaries,navigate space,neutral,201311_114.1422458_22.573539200000006.png
intersection,strong sense of scope,exploration,positive,201311_114.158799_22.6090681.png
roads,ample space,exploration,positive,201311_114.158799_22.6090681.png
sky,clear and open,movement,positive,201311_114.158799_22.6090681.png
hills,distant view,exploration,positive,201311_114.158799_22.6090681.png
buildings,visible expanse,exploration,positive,201311_114.158799_22.6090681.png
road,sense of exploration,movement along the path,positive,201311_114.1664523_22.6055109.png
buildings,sense of scale,engagement with surroundings,positive,201311_114.1664523_22.6055109.png
barriers,feeling of limitation,hesitation to move,negative,201311_114.1664523_22.6055109.png
walls,limited sense of freedom,hesitation to explore,negative,201311_114.14111260000001_22.612017599999994.png
fences,constrained movement,avoidance of open spaces,negative,201311_114.14111260000001_22.612017599999994.png
buildings,defined boundaries,staying within limits,neutral,201311_114.14111260000001_22.612017599999994.png
road,structured navigation,following paths,positive,201311_114.14111260000001_22.612017599999994.png
sidewalk,safe movement,walking confidently,positive,201311_114.14111260000001_22.612017599999994.png
road,sense of openness,exploration,positive,201311_114.1699075_22.572947699999997.png
greenery,potential for exploration,engagement with nature,positive,201311_114.1699075_22.572947699999997.png
buildings,suggests larger landscape,curiosity,positive,201311_114.1699075_22.572947699999997.png
residences,implies limitations,restricted movement,negative,201311_114.1699075_22.572947699999997.png
boundaries,sense of confinement,hesitation to explore,negative,201311_114.1699075_22.572947699999997.png
street,sense of breadth,potential for movement,positive,201311_114.1708255_22.6072058.png
land,sense of openness,encouragement to explore,positive,201311_114.1708255_22.6072058.png
buildings,sense of limitation,restricted movement,negative,201311_114.1708255_22.6072058.png
cars,sense of confinement,discouragement from exploration,negative,201311_114.1708255_22.6072058.png
road,sense of journey,exploration,positive,201311_114.1753739_22.602115699999995.png
fences,feeling of confinement,hesitation to explore,negative,201311_114.1753739_22.602115699999995.png
buildings,sense of structure,navigation,neutral,201311_114.1753739_22.602115699999995.png
green spaces,calming effect,relaxation,positive,201311_114.1753739_22.602115699999995.png
traffic infrastructure,awareness of boundaries,caution in movement,negative,201311_114.1753739_22.602115699999995.png
path,potential for exploration,wander and discover,positive,201311_114.1712754_22.5966659.png
hillsides,sense of openness,explore surroundings,positive,201311_114.1712754_22.5966659.png
foliage,feeling of immersion,engage with nature,positive,201311_114.1712754_22.5966659.png
road,visual depth,navigate the space,positive,201311_114.1712754_22.5966659.png
elevations,sense of scale,explore varied terrain,positive,201311_114.1712754_22.5966659.png
highway,sense of vastness,potential for travel,positive,201311_114.1766153913743_22.62211635756483.png
infrastructure,limited exploration,feel less open,negative,201311_114.1766153913743_22.62211635756483.png
road,sense of confinement,restrict informal wandering,negative,201311_114.1766153913743_22.62211635756483.png
road,limited exploration,avoidance of exploration,negative,201311_114.1715729_22.579913799999993.png
foliage,potential for exploration,encouragement to explore,positive,201311_114.1715729_22.579913799999993.png
landscape,implied depth,engagement with surroundings,positive,201311_114.1715729_22.579913799999993.png
boundaries,sense of confinement,hesitation to explore,negative,201311_114.1715729_22.579913799999993.png
highway,sense of vastness,exploration,positive,201311_114.16919617982792_22.62714279983004.png
sky,feeling of openness,movement,positive,201311_114.16919617982792_22.62714279983004.png
hills,natural boundaries,limited movement,neutral,201311_114.16919617982792_22.62714279983004.png
vegetation,sense of enclosure,restricted exploration,negative,201311_114.16919617982792_22.62714279983004.png
road,journey into a wider world,travel,positive,201311_114.16919617982792_22.62714279983004.png
road,sense of exploration,encourages movement,positive,201311_114.1856469_22.5908533.png
hills,feeling of openness,invites curiosity,positive,201311_114.1856469_22.5908533.png
guardrails,sense of restriction,limits exploration,negative,201311_114.1856469_22.5908533.png
buildings,sense of confinement,discourages free movement,negative,201311_114.1856469_22.5908533.png
greenery,calming effect,promotes relaxation,positive,201311_114.1856469_22.5908533.png
buildings,sense of exploration,move about,positive,201311_114.186989_22.595263999999997.png
roads,boundaries to movement,navigate the area,neutral,201311_114.186989_22.595263999999997.png
sidewalks,sense of potential,explore the city,positive,201311_114.186989_22.595263999999997.png
fences,restricted exploration,avoidance of exploration,negative,201311_114.1832046_22.5984266.png
buildings,contained feeling,limited movement,negative,201311_114.1832046_22.5984266.png
sidewalks,some accessibility,walking,neutral,201311_114.1832046_22.5984266.png
street,lack of openness,hesitation to explore,negative,201311_114.1832046_22.5984266.png
road,limited exploration,restricted movement,negative,201311_114.176878_22.581670799999998.png
vegetation,sense of enclosure,hesitant exploration,negative,201311_114.176878_22.581670799999998.png
cars,defined boundaries,cautious navigation,neutral,201311_114.176878_22.581670799999998.png
buildings,feelings of confinement,restricted movement,negative,201312_113.7839461_22.716497199999996.png
streetscape,limited exploration,hesitation to explore,negative,201312_113.7839461_22.716497199999996.png
tunnel,limited exploration,restricted movement,negative,201311_114.231161_22.596456399999994.png
passage,defined boundaries,linear travel,neutral,201311_114.231161_22.596456399999994.png
road,constrained possibilities,limited navigation,negative,201311_114.231161_22.596456399999994.png
highway,sense of vastness,feeling of exploration,positive,201311_114.1860739_22.6130437.png
hills,sense of scale,encouragement of movement,positive,201311_114.1860739_22.6130437.png
sky,sense of openness,inspiration to travel,positive,201311_114.1860739_22.6130437.png
road,impression of journey,desire to continue traveling,positive,201311_114.1860739_22.6130437.png
space,feeling of freedom,encouragement to explore,positive,201311_114.1860739_22.6130437.png
street,limited exploration,restricted movement,negative,201312_113.78218214006371_22.68964439788343.png
buildings,constrained environment,minimal engagement,negative,201312_113.78218214006371_22.68964439788343.png
traffic,stressful atmosphere,avoidance behavior,negative,201312_113.78218214006371_22.68964439788343.png
road,sense of freedom,exploration,positive,201312_113.78476114628427_22.697658317071774.png
spaces,openness,movement,positive,201312_113.78476114628427_22.697658317071774.png
intersection,sense of exploration,encourages movement,positive,201312_113.8278184_22.7315766.png
roadway,feeling of limitation,restricts exploration,negative,201312_113.8278184_22.7315766.png
streets,openness to possibilities,invites further exploration,positive,201312_113.8278184_22.7315766.png
buildings,sense of enclosure,creates barriers to movement,negative,201312_113.8278184_22.7315766.png
street,sense of possibility,moving about,positive,201312_113.83443584337306_22.74126975401547.png
buildings,sense of enclosure,limited exploration,negative,201312_113.83443584337306_22.74126975401547.png
urban fabric,restricted possibilities,limited movement,negative,201312_113.83443584337306_22.74126975401547.png
overpass,sense of vastness,exploration,positive,201312_113.830443_22.644925700000005.png
buildings,urban impression,engagement with environment,positive,201312_113.830443_22.644925700000005.png
road,defined boundaries,navigation,neutral,201312_113.830443_22.644925700000005.png
view,openness,curiosity,positive,201312_113.830443_22.644925700000005.png
street,sense of linear exploration,movement along its length,positive,201312_113.83572026600113_22.73146253989801.png
buildings,perceived boundaries,limited exploration,negative,201312_113.83572026600113_22.73146253989801.png
traffic,constrained movement,walking along the street,negative,201312_113.83572026600113_22.73146253989801.png
street,limited visual scope,restricted exploration,negative,201312_113.8360353_22.761185699999995.png
buildings,lack of expansiveness,reduced movement options,negative,201312_113.8360353_22.761185699999995.png
street,sense of visual breadth,hinting at possibilities for movement,positive,201312_113.8235017_22.698809100000002.png
lanes,potential for exploration,encourages exploration,positive,201312_113.8235017_22.698809100000002.png
traffic,feeling of restriction,limits exploration,negative,201312_113.8235017_22.698809100000002.png
infrastructure,defined route,constrains movement,negative,201312_113.8235017_22.698809100000002.png
street,potential for exploration,encourages exploration,positive,201312_113.8409926803816_22.75012227013069.png
road,limited movement,restricts exploration,negative,201312_113.8409926803816_22.75012227013069.png
sidewalks,bounded environment,limits freedom of movement,negative,201312_113.8409926803816_22.75012227013069.png
cars,defined boundaries,creates barriers,negative,201312_113.8409926803816_22.75012227013069.png
buildings,sense of enclosure,induces caution,negative,201312_113.8409926803816_22.75012227013069.png
buildings,limited exploration,restricted movement,negative,201312_113.8346455_22.695685499999996.png
cars,constrained environment,avoidance of discovery,negative,201312_113.8346455_22.695685499999996.png
road,lack of vastness,minimal engagement,negative,201312_113.8346455_22.695685499999996.png
green,sense of openness,exploration,positive,201312_113.83914327807292_22.754952015391464.png
buildings,limitations to movement,restricted exploration,negative,201312_113.83914327807292_22.754952015391464.png
vehicles,limitations to movement,restricted exploration,negative,201312_113.83914327807292_22.754952015391464.png
street,potential for exploration,exploring the area,positive,201312_113.85651230262431_22.656305210826364.png
buildings,limited feeling of expansive freedom,hesitating to venture further,negative,201312_113.85651230262431_22.656305210826364.png
sidewalks,clear path,walking confidently,positive,201312_113.85651230262431_22.656305210826364.png
roads,implied boundaries,staying within limits,negative,201312_113.85651230262431_22.656305210826364.png
intersection,sense of expanse,movement and exploration,positive,201312_113.83718987956412_22.73739513103713.png
buildings,sense of limitation,restricted movement,negative,201312_113.83718987956412_22.73739513103713.png
roads,defined pathways,navigation within urban context,neutral,201312_113.83718987956412_22.73739513103713.png
urban fabric,curtailed exploration,limited exploration,negative,201312_113.83718987956412_22.73739513103713.png
road,potential for exploration,encourages movement,positive,201312_113.8374755_22.647390599999994.png
paths,possibilities for movement,invites exploration,positive,201312_113.8374755_22.647390599999994.png
sidewalks,limited perception of vastness,restricts exploration,negative,201312_113.8374755_22.647390599999994.png
roads,moderate exploration,movement opportunities,positive,201312_113.8530002_22.568199100000005.png
pathways,sense of connectivity,encouraged exploration,positive,201312_113.8530002_22.568199100000005.png
green,inviting environment,engagement with nature,positive,201312_113.8530002_22.568199100000005.png
buildings,urban context awareness,exploration of surroundings,neutral,201312_113.8530002_22.568199100000005.png
spaces,reasonable extent,potential exploration,positive,201312_113.8530002_22.568199100000005.png
paths,sense of choice,exploration,positive,201312_113.85777283738314_22.642709229323334.png
mountain,curiosity about the landscape,further exploration,positive,201312_113.85777283738314_22.642709229323334.png
gardens,calmness and order,movement within areas,positive,201312_113.85777283738314_22.642709229323334.png
road,structured environment,limited exploration,negative,201312_113.85777283738314_22.642709229323334.png
trees,limited exploration,restricted movement,negative,201312_113.8578372_22.5682381.png
roads,functional urban corridor,minimal engagement,negative,201312_113.8578372_22.5682381.png
sidewalks,clear constraints,cautious navigation,negative,201312_113.8578372_22.5682381.png
buildings,sense of confinement,limited exploration,negative,201312_113.8578372_22.5682381.png
buildings,limited exploration,restricted movement,negative,201312_113.8574523_22.571860800000003.png
fences,contained environment,hesitation to explore,negative,201312_113.8574523_22.571860800000003.png
road,impression of confinement,cautious navigation,negative,201312_113.8574523_22.571860800000003.png
buildings,feeling of confinement,limited exploration,negative,201312_113.85980904184744_22.648029621847705.png
cars,sense of restriction,avoidance of movement,negative,201312_113.85980904184744_22.648029621847705.png
road,potential for journey,encouragement to explore,neutral,201312_113.85980904184744_22.648029621847705.png
gated,impression of barriers,hesitation to enter,negative,201312_113.85980904184744_22.648029621847705.png
road,limited exploration,restricted movement,negative,201312_113.876258209507_22.67064777876147.png
vegetation,sense of enclosure,hesitation to explore,negative,201312_113.876258209507_22.67064777876147.png
buildings,constrained environment,avoidance of movement,negative,201312_113.876258209507_22.67064777876147.png
street,constrained exploration,limited movement,negative,201312_113.860416_22.5694392.png
buildings,restricted feeling,lack of discovery,negative,201312_113.860416_22.5694392.png
vehicles,sense of boundaries,decreased exploration,negative,201312_113.860416_22.5694392.png
buildings,restricted exploration,limited movement,negative,201312_113.8659038_22.605222400000002.png
sidewalks,constrained pathways,hesitant navigation,negative,201312_113.8659038_22.605222400000002.png
roads,urban confinement,reduced exploration,negative,201312_113.8659038_22.605222400000002.png
intersections,diverse directions,potential exploration,neutral,201312_113.8659038_22.605222400000002.png
fenced-off area,sense of restriction,avoidance of space,negative,201312_113.8659038_22.605222400000002.png
natural elements,lack of openness,minimal engagement,negative,201312_113.8659038_22.605222400000002.png
road,sense of expansiveness,movement and exploration,positive,201312_113.88293720000001_22.8212419.png
sky,sense of openness,exploration,positive,201312_113.88293720000001_22.8212419.png
trees,lack of strict boundaries,freedom of movement,positive,201312_113.88293720000001_22.8212419.png
highway,implied possibilities,travel in multiple directions,positive,201312_113.88293720000001_22.8212419.png
street,functional urban environment,navigate through space,neutral,201312_113.8877873_22.674002400000003.png
buildings,sense of confinement,limit exploration,negative,201312_113.8877873_22.674002400000003.png
trees,aesthetic appeal,encourage relaxation,positive,201312_113.8877873_22.674002400000003.png
street,sense of exploration,encourages movement,positive,201312_113.8844253_22.668941099999998.png
buildings,urban density,promotes engagement,positive,201312_113.8844253_22.668941099999998.png
traffic,busy environment,induces caution,neutral,201312_113.8844253_22.668941099999998.png
pedestrians,social interaction,fosters connectivity,positive,201312_113.8844253_22.668941099999998.png
street,sense of continuation,limited exploration,neutral,201312_113.8966185193665_22.67673893440902.png
buildings,defined boundaries,restricted movement,negative,201312_113.8966185193665_22.67673893440902.png
vehicles,urban activity,transit engagement,positive,201312_113.8966185193665_22.67673893440902.png
parking,sense of openness,exploration potential,positive,201312_113.8966185193665_22.67673893440902.png
construction,temporary disruption,avoidance,negative,201312_113.8966185193665_22.67673893440902.png
road,narrow focus,limited exploration,negative,201312_113.8966185193665_22.67673893440902.png
