spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
vegetation,diminished attention,minimal interaction,negative,201311_113.90606_22.596435000000003.png
highway,limited fascination,potential boredom,negative,201311_113.9315387_22.6072424.png
traffic,lack of interest,disengagement,negative,201311_113.9315387_22.6072424.png
greenery,somewhat overshadowed,reduced attention,negative,201311_113.9315387_22.6072424.png
hills,diminished appeal,inattention,negative,201311_113.9315387_22.6072424.png
canopy,moderate fascination,observe surroundings,neutral,201311_113.92134492327405_22.6301559311904.png
sunlight,visual interest,explore area,positive,201311_113.92134492327405_22.6301559311904.png
road,limited immersion,feel boredom,negative,201311_113.92134492327405_22.6301559311904.png
trees,visual interest,engagement,positive,201311_113.95997440000001_22.599463099999998.png
vehicles,limited fascination,distraction,negative,201311_113.95997440000001_22.599463099999998.png
signs,repetitive nature,lack of engagement,negative,201311_113.95997440000001_22.599463099999998.png
light,moderate fascination,appreciation,positive,201311_113.95997440000001_22.599463099999998.png
sky,visual appeal,upliftment,positive,201311_113.95997440000001_22.599463099999998.png
infrastructure,limited engagement,avoidance,negative,201311_113.95997440000001_22.599463099999998.png
trees,lack of engagement,disinterest,negative,201311_113.9212475061574_22.624198398318953.png
architecture,monotony,boredom,negative,201311_113.9212475061574_22.624198398318953.png
vehicles,routine,passive observation,neutral,201311_113.9212475061574_22.624198398318953.png
palm,moderate fascination,mild exploration,neutral,201311_113.955732_22.590690699999996.png
clutter,detracted engagement,avoidance,negative,201311_113.955732_22.590690699999996.png
building,uniformity,passive observation,neutral,201311_113.955732_22.590690699999996.png
trees,limited fascination,difficulty in engagement,negative,201311_113.93390290000002_22.603255199999996.png
road,dominance of infrastructure,reduced attention,negative,201311_113.93390290000002_22.603255199999996.png
sunlight,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png
trees,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png
road,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png
landscaping,sense of visual interest,hard to be bored,positive,201311_113.972093_22.603460099999996.png
trees,some visual interest,explore surroundings,positive,201311_113.97217166373336_22.598046834891043.png
sidewalks,lack of distinct features,limited engagement,negative,201311_113.97217166373336_22.598046834891043.png
road,limits novelty,reduced curiosity,negative,201311_113.97217166373336_22.598046834891043.png
storefronts,captivated attention,exploring the area,positive,201311_113.9785024_22.6241635.png
signage,cultural engagement,interacting with vendors,positive,201311_113.9785024_22.6241635.png
vehicles,dynamic environment,navigating through space,positive,201311_113.9785024_22.6241635.png
trees,visual interest,taking breaks,positive,201311_113.9785024_22.6241635.png
architecture,aesthetic appreciation,photographing scenes,positive,201311_113.9785024_22.6241635.png
sky,bright atmosphere,engagement with surroundings,positive,201311_113.9787376_22.589872099999997.png
architecture,lack of novelty,disinterest in exploration,negative,201311_113.9787376_22.589872099999997.png
signage,moderate visual stimulation,casual observation,neutral,201311_113.9787376_22.589872099999997.png
greenery,sense of natural intrigue,exploring the path,positive,201311_113.9824091_22.594394199999996.png
buildings,visual interest,engaging with surroundings,positive,201311_113.9824091_22.594394199999996.png
sky,engaging environment,spending time outdoors,positive,201311_113.9824091_22.594394199999996.png
vegetation,slight visual interest,minimal engagement,positive,201311_113.9874162_22.598817899999997.png
roads,boredom,disengagement,negative,201311_113.9874162_22.598817899999997.png
vehicles,boredom,disengagement,negative,201311_113.9874162_22.598817899999997.png
buildings,lack of fascination,disengagement,negative,201311_113.9874162_22.598817899999997.png
trees,high fascination,increased attention,positive,201311_113.9934289_22.598725899999998.png
spaces,visual interest,engagement with environment,positive,201311_113.9934289_22.598725899999998.png
architecture,captured interest,exploration of surroundings,positive,201311_113.9934289_22.598725899999998.png
landscaping,moderate fascination,prolonged presence,positive,201311_113.9934289_22.598725899999998.png
vegetation,visual interest,engage viewer's attention,positive,201311_113.9956108_22.602901100000004.png
water,moderate fascination,prevent boredom,neutral,201311_113.9956108_22.602901100000004.png
rock,limited engagement,lack of deep engagement,negative,201311_113.9956108_22.602901100000004.png
urban,contrast perception,heightened awareness,neutral,201311_113.9956108_22.602901100000004.png
trees,limited visual interest,not actively engaged,negative,201311_113.9849525_22.597865099999996.png
buildings,functional impression,not actively engaged,negative,201311_113.9849525_22.597865099999996.png
sky,lack of intrigue,not bored,neutral,201311_113.9849525_22.597865099999996.png
foliage,engaging visual experience,exploration,positive,201311_113.97215286575438_22.599851368800312.png
sunlight,stimulating environment,enjoyment,positive,201311_113.97215286575438_22.599851368800312.png
wooded area,sense of intrigue,discovery,positive,201311_113.97215286575438_22.599851368800312.png
trees,touch of visual interest,increased engagement,positive,201311_114.010794_22.5554258.png
buildings,sense of monotony,decreased observation,negative,201311_114.010794_22.5554258.png
roads,functional impression,limited exploration,neutral,201311_114.010794_22.5554258.png
light,not particularly captivating,lack of inspiration,negative,201311_114.010794_22.5554258.png
shadow,not particularly captivating,lack of inspiration,negative,201311_114.010794_22.5554258.png
architecture,lack of fascination,disinterest,negative,201311_114.00419846671053_22.673102084815238.png
infrastructure,limited engagement,avoidance,negative,201311_114.00419846671053_22.673102084815238.png
greenery,mildly captivating,short-term engagement,positive,201311_113.9934635_22.605469299999996.png
road,not particularly engaging,limited exploration,negative,201311_113.9934635_22.605469299999996.png
fencing,sense of limitation,restricted movement,negative,201311_113.9934635_22.605469299999996.png
buildings,diminished fascination,lack of interest,negative,201311_113.9934635_22.605469299999996.png
roads,functional but unengaging,lack of exploration,negative,201311_113.9978764_22.603342699999995.png
buildings,orderly environment,minimal interaction,negative,201311_113.9978764_22.603342699999995.png
landscaping,sparse and uninspiring,reduced engagement,negative,201311_113.9978764_22.603342699999995.png
crosswalks,mildly interesting,brief curiosity,neutral,201311_113.9978764_22.603342699999995.png
facades,not captivating,lack of attraction,negative,201311_113.9978764_22.603342699999995.png
trees,interest and engagement,exploration,positive,201311_114.0367137_22.625328199999995.png
garden,calmness,relaxation,positive,201311_114.0367137_22.625328199999995.png
villa,aesthetic appreciation,social interaction,positive,201311_114.0367137_22.625328199999995.png
buildings,uniformity,limited engagement,negative,201311_114.0367137_22.625328199999995.png
laundry,commonality,disinterest,negative,201311_114.0367137_22.625328199999995.png
trees,sense of nature,encourages relaxation,positive,201311_114.108805_22.539949000000004.png
buildings,functional busy street,limited exploration,negative,201311_114.108805_22.539949000000004.png
vehicles,chaotic environment,hastened movement,negative,201311_114.108805_22.539949000000004.png
signage,information overload,distracted focus,negative,201311_114.108805_22.539949000000004.png
shops,moderate fascination,draws attention,positive,201311_114.1329892_22.5822593.png
signs,enhanced engagement,stimulates exploration,positive,201311_114.1329892_22.5822593.png
environment,limited engagement,reduces exploration,negative,201311_114.1329892_22.5822593.png
styles,repetitive monotony,diminishes curiosity,negative,201311_114.1329892_22.5822593.png
intersection,lively engagement,exploration,positive,201311_114.07813510000001_22.5592236.png
signage,captivated attention,shopping,positive,201311_114.07813510000001_22.5592236.png
traffic,limited engagement,avoidance,negative,201311_114.07813510000001_22.5592236.png
trees,mild restoration,brief respite,neutral,201311_114.07813510000001_22.5592236.png
buildings,overwhelmed feeling,withdrawal,negative,201311_114.07813510000001_22.5592236.png
buildings,ongoing development,less likely to engage,negative,201311_114.0918839_22.580004399999996.png
terrain,disarray,induce boredom,negative,201311_114.0918839_22.580004399999996.png
greenery,visual interest,capture attention,positive,201311_114.0918839_22.580004399999996.png
trucks,lack of fascination,distract attention,negative,201311_114.0918839_22.580004399999996.png
debris,lack of appeal,reduce engagement,negative,201311_114.0918839_22.580004399999996.png
trees,captures attention,exploration,positive,201311_114.1260936_22.5848949.png
roadway,limited engagement,disinterest,negative,201311_114.1260936_22.5848949.png
greenery,intrigue,admiration,positive,201311_114.1260936_22.5848949.png
construction,distracting,avoidance,negative,201311_114.1260936_22.5848949.png
trees,reasonably engaging,exploration,positive,201311_114.0363794_22.549060799999996.png
buildings,limited fascination,disengagement,negative,201311_114.0363794_22.549060799999996.png
traffic,urban activity,social interaction,positive,201311_114.0363794_22.549060799999996.png
areas,visual stimuli,engagement,positive,201311_114.0363794_22.549060799999996.png
sunlight,moderate fascination,exploration,positive,201311_114.1331646_22.6036264.png
shops,visual interest,engagement,positive,201311_114.1331646_22.6036264.png
building,not captivating,disinterest,negative,201311_114.1331646_22.6036264.png
streetscape,lack of novelty,avoidance,negative,201311_114.1331646_22.6036264.png
trees,moderate visual interest,passive observation,neutral,201311_114.13313586110559_22.60543104368196.png
shadows,lack of engagement,distraction,negative,201311_114.13313586110559_22.60543104368196.png
bicycles,touch of life,brief interaction,positive,201311_114.13313586110559_22.60543104368196.png
vehicles,distant presence,background awareness,neutral,201311_114.13313586110559_22.60543104368196.png
traffic,lack of intrigue,difficulty in capturing attention,negative,201311_114.1398083_22.565269999999995.png
buildings,boredom,disinterest in surroundings,negative,201311_114.1398083_22.565269999999995.png
construction,monotony,reduced exploration,negative,201311_114.1398083_22.565269999999995.png
vehicles,predictability,lack of engagement,negative,201311_114.1398083_22.565269999999995.png
designs,repetitiveness,failure to attract attention,negative,201311_114.1398083_22.565269999999995.png
trees,engaging visual texture,hold attention,positive,201311_114.13318312310899_22.60182164061621.png
design,moderate level of fascination,prevent boredom,positive,201311_114.13318312310899_22.60182164061621.png
foliage,visual interest,engagement with nature,positive,201311_114.1422458_22.573539200000006.png
path,curiosity,exploration,positive,201311_114.1422458_22.573539200000006.png
railing,intrigue,investigation,positive,201311_114.1422458_22.573539200000006.png
person,solitude,reflection,neutral,201311_114.1422458_22.573539200000006.png
billboards,sense of visual interest,engagement with surroundings,positive,201311_114.158799_22.6090681.png
trees,calming effect,seeking relaxation,positive,201311_114.158799_22.6090681.png
traffic,dynamic environment,exploration of area,positive,201311_114.158799_22.6090681.png
hills,sense of openness,appreciation of nature,positive,201311_114.158799_22.6090681.png
trees,draws attention,engagement with nature,positive,201311_114.1664523_22.6055109.png
water,creates interest,exploration,positive,201311_114.1664523_22.6055109.png
hills,visual appeal,admiration,positive,201311_114.1664523_22.6055109.png
infrastructure,lack of fascination,disengagement,negative,201311_114.1664523_22.6055109.png
fence,restrictive feeling,avoidance,negative,201311_114.1664523_22.6055109.png
sunlight,visual interest,exploration,positive,201311_114.14111260000001_22.612017599999994.png
trees,calmness,relaxation,positive,201311_114.14111260000001_22.612017599999994.png
walls,aesthetic appeal,engagement,positive,201311_114.14111260000001_22.612017599999994.png
vehicles,busy atmosphere,movement,neutral,201311_114.14111260000001_22.612017599999994.png
buildings,monotony,disengagement,negative,201311_114.14111260000001_22.612017599999994.png
roads,restriction,avoidance,negative,201311_114.14111260000001_22.612017599999994.png
architecture,some visual interest,engagement,positive,201311_114.1699075_22.572947699999997.png
buildings,limited engagement,avoid prolonged stay,negative,201311_114.1699075_22.572947699999997.png
vehicles,distraction,reduce exploration,negative,201311_114.1699075_22.572947699999997.png
pergolas,pleasant impression,brief enjoyment,neutral,201311_114.1699075_22.572947699999997.png
facades,not captivating,lack of curiosity,negative,201311_114.1699075_22.572947699999997.png
cars,sense of everyday life,passive observation,negative,201311_114.1708255_22.6072058.png
buildings,lack of engagement,disinterest,negative,201311_114.1708255_22.6072058.png
greenery,mild interest,brief appreciation,neutral,201311_114.1708255_22.6072058.png
utility poles,mundane environment,avoidance,negative,201311_114.1708255_22.6072058.png
trees,sense of visual interest,hold attention,positive,201311_114.1753739_22.602115699999995.png
wires,detracted experience,limit attention,negative,201311_114.1753739_22.602115699999995.png
infrastructure,detracted experience,limit attention,negative,201311_114.1753739_22.602115699999995.png
signs,detracted experience,limit attention,negative,201311_114.1753739_22.602115699999995.png
greenery,moderate fascination,exploration,positive,201311_114.1712754_22.5966659.png
structures,visual interest,engagement,positive,201311_114.1712754_22.5966659.png
powerlines,detracted appeal,avoidance,negative,201311_114.1712754_22.5966659.png
road,less inviting,hesitation,negative,201311_114.1712754_22.5966659.png
greenery,visual interest,engagement with environment,positive,201311_114.1766153913743_22.62211635756483.png
highway,less captivating environment,limited engagement,negative,201311_114.1766153913743_22.62211635756483.png
vehicles,distraction,avoidance of space,negative,201311_114.1766153913743_22.62211635756483.png
power lines,visual clutter,disengagement from surroundings,negative,201311_114.1766153913743_22.62211635756483.png
hills,aesthetic appeal,exploration,positive,201311_114.1766153913743_22.62211635756483.png
greenery,visually engaging scene,increased attention,positive,201311_114.1715729_22.579913799999993.png
sunlight,enhanced mood,encouraged exploration,positive,201311_114.1715729_22.579913799999993.png
road,sense of curiosity,desire to wander,positive,201311_114.1715729_22.579913799999993.png
trees,feeling of intrigue,engagement with surroundings,positive,201311_114.1715729_22.579913799999993.png
shadows,mystery,exploration of hidden areas,positive,201311_114.1715729_22.579913799999993.png
landscape,sense of adventure,seeking new experiences,positive,201311_114.1715729_22.579913799999993.png
greenery,visually engaging,increased attention,positive,201311_114.16919617982792_22.62714279983004.png
highway,restrictive,decreased engagement,negative,201311_114.16919617982792_22.62714279983004.png
vehicles,dominant,limited fascination,negative,201311_114.16919617982792_22.62714279983004.png
sky,some visual interest,temporary distraction,neutral,201311_114.16919617982792_22.62714279983004.png
hills,moderate fascination,short-term engagement,neutral,201311_114.16919617982792_22.62714279983004.png
greenery,visual interest,exploration,positive,201311_114.1856469_22.5908533.png
buildings,urban contrast,engagement,neutral,201311_114.1856469_22.5908533.png
construction,detracting fascination,avoidance,negative,201311_114.1856469_22.5908533.png
traffic,peaceful atmosphere,relaxation,positive,201311_114.1856469_22.5908533.png
sky,calmness,enjoyment,positive,201311_114.1856469_22.5908533.png
road,repetitiveness,disengagement,negative,201311_114.1856469_22.5908533.png
storefronts,moderate level of fascination,draw attention,positive,201311_114.186989_22.595263999999997.png
advertisements,stimulated interest,explore surroundings,positive,201311_114.186989_22.595263999999997.png
pedestrian,engaged observation,interact with environment,positive,201311_114.186989_22.595263999999997.png
trees,moderate fascination,engaging with surroundings,positive,201311_114.1832046_22.5984266.png
vehicles,some visual interest,observing activity,neutral,201311_114.1832046_22.5984266.png
pedestrians,some engagement,interacting socially,positive,201311_114.1832046_22.5984266.png
infrastructure,mundane,limited exploration,negative,201311_114.1832046_22.5984266.png
greenery,visually engaging environment,increased interest,positive,201311_114.176878_22.581670799999998.png
trees,sense of fascination,exploration,positive,201311_114.176878_22.581670799999998.png
road,slight distraction,reduced engagement,negative,201311_114.176878_22.581670799999998.png
urban,mixed feelings,curiosity,neutral,201311_114.176878_22.581670799999998.png
architecture,lack of interest,become bored,negative,201312_113.7839461_22.716497199999996.png
structures,lack of engagement,lose attention,negative,201312_113.7839461_22.716497199999996.png
tunnel,limited fascination,lack of engagement,negative,201311_114.231161_22.596456399999994.png
tiles,minimal visual interest,disinterest,negative,201311_114.231161_22.596456399999994.png
lights,lack of stimulation,inability to focus,negative,201311_114.231161_22.596456399999994.png
cars,confinement,avoidance of exploration,negative,201311_114.231161_22.596456399999994.png
highway,moderate fascination,limited attention,negative,201311_114.1860739_22.6130437.png
landscape,visual interest,mild engagement,positive,201311_114.1860739_22.6130437.png
guardrails,distraction,avoidance of focus,negative,201311_114.1860739_22.6130437.png
billboards,visual clutter,decreased attention,negative,201311_114.1860739_22.6130437.png
facades,limited attention,avoid boredom,negative,201312_113.78218214006371_22.68964439788343.png
trees,lack of wonder,minimal engagement,negative,201312_113.78218214006371_22.68964439788343.png
environment,functional mindset,routine behavior,negative,201312_113.78218214006371_22.68964439788343.png
architecture,low fascination,lack of engagement,negative,201312_113.78476114628427_22.697658317071774.png
greenery,boredom,disinterest,negative,201312_113.78476114628427_22.697658317071774.png
activity,visual monotony,inactivity,negative,201312_113.78476114628427_22.697658317071774.png
intersection,functional environment,lack of engagement,negative,201312_113.8278184_22.7315766.png
traffic,overwhelmed senses,distraction from surroundings,negative,201312_113.8278184_22.7315766.png
buildings,mundane atmosphere,indifference,negative,201312_113.8278184_22.7315766.png
greenery,minimal appeal,short-lived interest,negative,201312_113.8278184_22.7315766.png
designs,limited fascination,prevent boredom,negative,201312_113.83443584337306_22.74126975401547.png
windows,lack of captivating views,hard to be engrossed,negative,201312_113.83443584337306_22.74126975401547.png
vehicles,minimal visual interest,prevent boredom,negative,201312_113.83443584337306_22.74126975401547.png
signs,minimal visual interest,prevent boredom,negative,201312_113.83443584337306_22.74126975401547.png
buildings,moderate fascination,limited engagement,negative,201312_113.830443_22.644925700000005.png
traffic,limited fascination,prevent deep engagement,negative,201312_113.830443_22.644925700000005.png
trees,some visual interest,encourages observation,positive,201312_113.830443_22.644925700000005.png
greenery,visual interest,promotes relaxation,positive,201312_113.830443_22.644925700000005.png
signs,moderate engagement,casual observation,neutral,201312_113.83572026600113_22.73146253989801.png
facades,limited fascination,passing through,negative,201312_113.83572026600113_22.73146253989801.png
activity,sense of busyness,increased movement,positive,201312_113.83572026600113_22.73146253989801.png
buildings,mundane experience,minimal exploration,negative,201312_113.83572026600113_22.73146253989801.png
trees,some visual interest,exploration,positive,201312_113.8360353_22.761185699999995.png
buildings,limited fascination,disengagement,negative,201312_113.8360353_22.761185699999995.png
street,narrowness,hesitation,negative,201312_113.8360353_22.761185699999995.png
trees,limited fascination,difficulty in deep engagement,negative,201312_113.8235017_22.698809100000002.png
buildings,everyday urban activity,lack of deep attention,negative,201312_113.8235017_22.698809100000002.png
traffic,overwhelmed senses,distraction from surroundings,negative,201312_113.8235017_22.698809100000002.png
shops,interesting details,draw attention,positive,201312_113.8409926803816_22.75012227013069.png
architecture,lack of sustained fascination,disengagement,negative,201312_113.8409926803816_22.75012227013069.png
street,fleeting interest,temporary engagement,neutral,201312_113.8409926803816_22.75012227013069.png
buildings,routine urban activity,lack of engagement,negative,201312_113.8346455_22.695685499999996.png
vehicles,monotony,disinterest,negative,201312_113.8346455_22.695685499999996.png
signage,lack of intrigue,reduced exploration,negative,201312_113.8346455_22.695685499999996.png
poles,detracted wonder,avoidance of details,negative,201312_113.8346455_22.695685499999996.png
trees,sense of fascination,draws attention,positive,201312_113.83914327807292_22.754952015391464.png
buildings,visual interest,exploration of environment,positive,201312_113.83914327807292_22.754952015391464.png
shadows,enhanced perception,increased observation,positive,201312_113.83914327807292_22.754952015391464.png
pedestrian,sense of activity,engagement with space,positive,201312_113.83914327807292_22.754952015391464.png
greenery,moderate fascination,exploration,positive,201312_113.85651230262431_22.656305210826364.png
architecture,utilitarian feeling,disengagement,negative,201312_113.85651230262431_22.656305210826364.png
vehicles,crowdedness,avoidance,negative,201312_113.85651230262431_22.656305210826364.png
buildings,functional urban environment,limited engagement,negative,201312_113.83718987956412_22.73739513103713.png
walkway,moderate interest,some exploration,neutral,201312_113.83718987956412_22.73739513103713.png
trees,lack of wonder,minimal interaction,negative,201312_113.83718987956412_22.73739513103713.png
traffic,bustling activity,transitory movement,neutral,201312_113.83718987956412_22.73739513103713.png
trees,sense of enclosure,seeking shade,positive,201312_113.8374755_22.647390599999994.png
building,visual interest,exploring surroundings,positive,201312_113.8374755_22.647390599999994.png
truck,dynamic elements,engaging with activity,positive,201312_113.8374755_22.647390599999994.png
person,moderate engagement,walking,neutral,201312_113.8374755_22.647390599999994.png
scooter,lack of striking features,potential boredom,negative,201312_113.8374755_22.647390599999994.png
trees,moderate fascination,engagement with nature,positive,201312_113.8530002_22.568199100000005.png
playground,childhood nostalgia,social interaction,positive,201312_113.8530002_22.568199100000005.png
cars,urban familiarity,routine navigation,neutral,201312_113.8530002_22.568199100000005.png
buildings,limited visual interest,passive observation,negative,201312_113.8530002_22.568199100000005.png
traffic,distraction,avoidance,negative,201312_113.8530002_22.568199100000005.png
parking,monotony,disengagement,negative,201312_113.8530002_22.568199100000005.png
trees,visual interest,engagement,positive,201312_113.85777283738314_22.642709229323334.png
mountain,awe,exploration,positive,201312_113.85777283738314_22.642709229323334.png
gate,curiosity,investigation,positive,201312_113.85777283738314_22.642709229323334.png
roads,distraction,limited engagement,negative,201312_113.85777283738314_22.642709229323334.png
sunlight,dynamic atmosphere,appreciation,positive,201312_113.85777283738314_22.642709229323334.png
street,ordinary environment,boredom,negative,201312_113.8578372_22.5682381.png
cars,lack of interest,distraction avoidance,negative,201312_113.8578372_22.5682381.png
trees,minimal fascination,passive observation,neutral,201312_113.8578372_22.5682381.png
buildings,urban hustle,routine navigation,neutral,201312_113.8578372_22.5682381.png
construction,disruption,avoidance,negative,201312_113.8578372_22.5682381.png
buildings,moderate fascination,limited engagement,negative,201312_113.8574523_22.571860800000003.png
trees,visual interest,exploration,positive,201312_113.8574523_22.571860800000003.png
shadows,curiosity,observation,neutral,201312_113.8574523_22.571860800000003.png
trees,limited fascination,difficult to be bored,negative,201312_113.85980904184744_22.648029621847705.png
buildings,standard impression,lack of engagement,negative,201312_113.85980904184744_22.648029621847705.png
road,limited visual interest,prolonged disengagement,negative,201312_113.876258209507_22.67064777876147.png
greenery,lack of fascination,minimal exploration,negative,201312_113.876258209507_22.67064777876147.png
street,functional clutter,limited attention,negative,201312_113.860416_22.5694392.png
storefronts,mundane elements,low fascination,negative,201312_113.860416_22.5694392.png
trees,some visual interest,engagement with surroundings,positive,201312_113.8659038_22.605222400000002.png
buildings,not strongly captivating,limited exploration,negative,201312_113.8659038_22.605222400000002.png
cars,functional but mundane,reduced interaction,negative,201312_113.8659038_22.605222400000002.png
infrastructure,limits opportunities for engagement,lack of curiosity,negative,201312_113.8659038_22.605222400000002.png
road,lack of engagement,increased boredom,negative,201312_113.88293720000001_22.8212419.png
vehicles,monotony,disinterest,negative,201312_113.88293720000001_22.8212419.png
vegetation,low fascination,reduced exploration,negative,201312_113.88293720000001_22.8212419.png
environment,insignificant interest,lack of interaction,negative,201312_113.88293720000001_22.8212419.png
trees,ordinary feelings,limited engagement,negative,201312_113.8877873_22.674002400000003.png
buildings,lack of intrigue,disinterest,negative,201312_113.8877873_22.674002400000003.png
traffic,overwhelmed state,avoidance,negative,201312_113.8877873_22.674002400000003.png
sky,brief uplift,momentary distraction,neutral,201312_113.8877873_22.674002400000003.png
signage,visually engaging environment,increased observation,positive,201312_113.8844253_22.668941099999998.png
vehicles,dynamic urban life,exploration of surroundings,positive,201312_113.8844253_22.668941099999998.png
vendors,interest in local culture,interaction with community,positive,201312_113.8844253_22.668941099999998.png
goods,curiosity about offerings,shopping or browsing,positive,201312_113.8844253_22.668941099999998.png
streetscape,appreciation of urban design,engagement with city life,positive,201312_113.8844253_22.668941099999998.png
street,lack of engagement,disinterest,negative,201312_113.8966185193665_22.67673893440902.png
