image_path,Average,Grok-4,Claude-3.7-Sonnet,Gemini-2.5-Flash,ChatGPT-4o,Qwen2.5-VL-72B,Llama-4-Maverick,With prior knowledge,Without prior knowledge,K=2,K=3,K=5
201403_114.30636268763371_22.672150165103474.png,0.407621714,0.40762,0.40762,0.40762,0.31123,0.60248,0.40762,0.40762,0.40762,0.40762,0.40762,0.36115
201402_114.36034582007444_22.719017512451686.png,0.58672526,0.65873,0.58673,0.58673,0.59221,0.55636,0.58,0.58673,0.65873,0.58673,0.55873,0.46189
202212_113.9450831_22.532614599999995.png,0.484478679,0.47864,0.48448,0.48448,0.49756,0.58424,0.48448,0.48448,0.57864,0.48448,0.57864,0.20885
202212_114.0551493_22.518495400000003.png,0.554773617,0.58711,0.57094,0.37389,0.59703,0.56422,0.55,0.57094,0.58711,0.57094,0.58711,0.65
202103_113.93672068874504_22.570695090848403.png,0.477011938,0.47701,0.47701,0.47701,0.52571,0.46283,0.477,0.47701,0.47701,0.47701,0.47701,0.45831
201709_114.0414485_22.640062199999996.png,0.378730556,0.38542,0.38564,0.39873,0.40625,0.38873,0.37873,0.38564,0.38542,0.38564,0.38542,0.34236
201312_114.602737_22.542949899999996.png,0.687445135,0.68745,0.68745,0.68745,0.70887,0.71234,0.75,0.68745,0.68745,0.68745,0.68745,0.62126
202211_113.921566914685_22.692212677311126.png,0.523465822,0.52347,0.52347,0.32347,0.35629,0.52347,0.55,0.52347,0.52347,0.52347,0.52347,0.45364
202211_113.8436113_22.612272900000004.png,0.327366772,0.3163,0.3163,0.38756,0.45187,0.6263,0.35,0.3163,0.6163,0.3163,0.3163,0.38465
201510_114.12311478463587_22.540428499015647.png,0.380873267,0.3625,0.38087,0.38087,0.45069,0.58243,0.38,0.38087,0.5625,0.38087,0.5625,0.34411
202211_113.9360468_22.758895699999997.png,0.420028886,0.56974,0.56974,0.56974,0.51224,0.46974,0.45,0.56974,0.56974,0.56974,0.56974,0.45373
201312_114.3289824_22.6672359.png,0.183815892,0.18542,0.18382,0.18582,0.24125,0.21432,0.18382,0.18382,0.38542,0.18382,0.18542,0.11217
202211_114.3351278_22.708945700000005.png,0.727985551,0.68521,0.72799,0.72799,0.69522,0.72799,0.75,0.72799,0.68521,0.72799,0.68521,0.66983
202211_114.0032842_22.655026699999997.png,0.414459974,0.41446,0.41243,0.21446,0.41242,0.41243,0.41446,0.41243,0.41446,0.41243,0.41446,0.33319
202211_114.0383343_22.670064099999998.png,0.467729815,0.46773,0.46773,0.46773,0.51879,0.49821,0.46773,0.46773,0.46773,0.46773,0.46773,0.66667
201312_114.22741642663604_22.6742870331036.png,0.353876072,0.3875,0.35388,0.35388,0.3256,0.52308,0.35,0.35388,0.4875,0.35388,0.3875,0.46257
201312_114.02460795663488_22.690583366445924.png,0.329976971,0.38756,0.32998,0.42998,0.39215,0.32998,0.32998,0.32998,0.38756,0.32998,0.38756,0.3492
201708_113.9303359_22.515187099999995.png,0.521400707,0.5214,0.5214,0.5214,0.43271,0.6514,0.5214,0.5214,0.5214,0.5214,0.5214,0.55278
201312_114.52151801756803_22.5503279488395.png,0.449514755,0.5872,0.45199,0.52897,0.62899,0.68243,0.75,0.45199,0.5872,0.45199,0.4872,0.40151
201312_114.5220393_22.475605999999992.png,0.484566864,0.5478,0.48457,0.48457,0.63253,0.68873,0.46,0.48457,0.5378,0.48457,0.5378,0.41299
202212_114.0658167_22.534223299999994.png,0.46780012,0.4478,0.4678,0.4698,0.50782,0.64218,0.751,0.4678,0.6478,0.4678,0.6478,0.56297
202101_113.8825929_22.794455400000004.png,0.449153869,0.45926,0.44915,0.45918,0.38229,0.46321,0.44915,0.44915,0.45926,0.44915,0.45926,0.45842
201311_113.87865392033376_22.61317748414232.png,0.282703054,0.3587,0.2827,0.31875,0.31294,0.31248,0.28,0.2827,0.3587,0.2827,0.3587,0.25
202211_114.368547_22.736087599999998.png,0.544089894,0.54409,0.54409,0.54409,0.44398,0.62147,0.54409,0.54409,0.54409,0.54409,0.54409,0.56596
202103_113.8435713_22.621687999999995.png,0.426996229,0.43588,0.427,0.4975,0.45329,0.58614,0.53588,0.427,0.53588,0.427,0.43588,0.5
201402_114.34935705669396_22.72479227935493.png,0.217908825,0.38762,0.20759,0.41791,0.31236,0.32148,0.21791,0.20759,0.38762,0.20759,0.38762,0.24486
202211_114.3107973_22.668331399999996.png,0.482414716,0.62375,0.47679,0.48241,0.48451,0.48241,0.48241,0.47679,0.62365,0.47679,0.62365,0.4701
202211_113.8575257_22.717668000000003.png,0.599929427,0.62857,0.59993,0.59993,0.40256,0.64986,0.75,0.59993,0.62857,0.59993,0.62857,0.54042
201607_114.22053419524289_22.566430501666158.png,0.210251783,0.31518,0.31318,0.31318,0.21025,0.21025,0.21025,0.31318,0.41318,0.31318,0.31318,0.25279
202211_113.8262261_22.649557699999992.png,0.396481521,0.3875,0.52817,0.43875,0.41654,0.48216,0.75,0.52817,0.4875,0.52817,0.4875,0.5
202103_113.88436432040571_22.579528390250747.png,0.339250909,0.34987,0.34286,0.34258,0.35083,0.34218,0.33925,0.34286,0.34987,0.34286,0.35987,0.46
202212_114.1136781_22.5459787.png,0.521838552,0.67845,0.61746,0.57846,0.57689,0.64218,0.55,0.61746,0.67845,0.61746,0.67845,0.58383
202211_114.00540480242616_22.65630467035494.png,0.445300941,0.54477,0.4453,0.47852,0.42769,0.54477,0.75,0.4453,0.54477,0.4453,0.54477,0.47932
201601_114.0135251_22.565275.png,0.350465249,0.35047,0.35047,0.35047,0.34275,0.42187,0.35047,0.35047,0.35047,0.35047,0.36847,0.34301
202211_113.7957707_22.7341786.png,0.586138744,0.625,0.58614,0.58614,0.48157,0.58614,0.58614,0.58614,0.625,0.58614,0.625,0.56507
201402_114.37810833693372_22.734786916068387.png,0.410707427,0.4875,0.41071,0.42071,0.38642,0.41071,0.35947,0.41071,0.4875,0.41071,0.4875,0.45191
202211_113.8409071441885_22.61114609385476.png,0.581573042,0.53275,0.64193,0.58157,0.53894,0.64193,0.75,0.64193,0.63275,0.64193,0.63275,0.76665
202212_114.0005612_22.5402458.png,0.455212941,0.45521,0.45521,0.45521,0.47875,0.58421,0.45521,0.45521,0.45521,0.45521,0.45521,0.44847
201402_114.3126874_22.6741184.png,0.407588548,0.4075,0.40759,0.40759,0.41578,0.58421,0.45,0.40759,0.4875,0.40759,0.4875,0.44476
202211_114.0714429_22.5480405.png,0.573952938,0.61809,0.61809,0.61809,0.59558,0.64582,0.55,0.61809,0.64809,0.61809,0.61809,0.66356
201402_114.30325706315772_22.703626619142224.png,0.411245905,0.41125,0.41125,0.41125,0.4135,0.58246,0.41125,0.41125,0.41125,0.41125,0.41125,0.56052
202101_113.85384977720011_22.78301523471154.png,0.266603268,0.2666,0.2666,0.2666,0,0.2666,0.2666,0.2666,0.2666,0.2666,0.2666,0.23924
202103_114.0727822_22.654202299999998.png,0.280361953,0.43402,0.28036,0.28036,0.31358,0.28036,0.75,0.28036,0.43402,0.28036,0.23402,0.28766
202211_114.40298750000001_22.696152799999997.png,0.584845728,0.61875,0.58485,0.58485,0.55142,0.68241,0.58485,0.58485,0.61875,0.58485,0.61875,0.57737
202211_113.8492719_22.793544899999997.png,0.373522863,0.48017,0.48017,0.37352,0.42144,0.37352,0.37352,0.48017,0.48017,0.48017,0.48017,0.4547
201402_114.39241537881304_22.725414696127416.png,0.350428885,0.4872,0.35043,0.35043,0.3798,0.48214,0.35043,0.35043,0.4872,0.35043,0.4872,0.56055
201311_114.07813510000001_22.5592236.png,0.452034129,0.45203,0.45203,0.45203,0.43685,0.58421,0.452,0.45203,0.45203,0.45203,0.45203,0.34804
202103_113.78774241091746_22.712710262476318.png,0.236059346,0.23606,0.23606,0.23606,0.25369,0.24123,0.23606,0.23606,0.23606,0.23606,0.23606,0.33812
202211_114.044294_22.550718700000004.png,0.670760268,0.67076,0.67076,0.67076,0.50741,0.72154,0.75,0.67076,0.67076,0.67076,0.67076,0.7702
202211_114.0209513_22.704005600000002.png,0.356693158,0.4875,0.35669,0.35669,0.33512,0.42186,0.3567,0.35669,0.4875,0.35669,0.3875,0.37995
202103_114.1284662_22.625145700000004.png,0.347187813,0.58046,0.58046,0.43758,0.4975,0.61234,0.35,0.58046,0.58046,0.58046,0.58046,0.56534
202103_114.0552365_22.5092541.png,0.471981662,0.58764,0.4981,0.67198,0.49034,0.68421,0.472,0.4981,0.58764,0.4981,0.58764,0.46121
202212_113.9303129_22.7637627.png,0.580463827,0.6875,0.58046,0.58046,0.52341,0.68214,0.75,0.58046,0.6875,0.58046,0.6875,0.6726
202211_114.26545658124965_22.747714020246537.png,0.387282228,0.45521,0.38728,0.38728,0.42753,0.38728,0.38728,0.38728,0.45521,0.38728,0.45521,0.44805
202211_113.92725478501447_22.736770270252634.png,0.560405437,0.65872,0.69927,0.56041,0.59142,0.64212,0.55,0.69927,0.65872,0.69927,0.65872,0.77006
202212_114.09686669419649_22.53823779479983.png,0.342548579,0.47117,0.34255,0.34255,0.32744,0.34255,0.34255,0.34255,0.47117,0.34255,0.37117,0.20557
201410_114.4088513_22.7552379.png,0.359466071,0.47372,0.47372,0.47372,0.4166,0.62184,0.75,0.47372,0.47372,0.47372,0.47372,0.3711
201902_113.7968278_22.6764534.png,0.372395477,0.5284,0.3724,0.6724,0.30462,0.48216,0.3724,0.3724,0.5284,0.3724,0.4284,0.35671
201402_114.2354072444943_22.717375951530183.png,0.447655465,0.48765,0.44766,0.44766,0.32373,0.44766,0.44766,0.44766,0.48765,0.44766,0.48765,0.46051
202211_114.0679141_22.563537199999995.png,0.267182174,0.31395,0.26718,0.56718,0.30179,0.26718,0.26718,0.26718,0.31395,0.26718,0.31595,0.21888
201312_114.5669133_22.495827700000003.png,0.488345859,0.48835,0.51487,0.48835,0.5874,0.62847,0.45,0.51487,0.48835,0.51487,0.48835,0.41289
202103_114.1102391_22.621661899999992.png,0.313946793,0.31395,0.31395,0.31395,0.31254,0.29843,0.314,0.31395,0.31395,0.31395,0.36395,0.33491
201709_114.0241351_22.6258048.png,0.548915594,0.54892,0.54892,0.54892,0.4152,0.54892,0.54892,0.54892,0.54892,0.54892,0.54892,0.65517
202212_114.12220825245038_22.563703360607565.png,0.499887331,0.54987,0.49989,0.49989,0.42342,0.61688,0.49989,0.49989,0.54987,0.49989,0.54987,0.44935
201902_113.8693476_22.598104299999996.png,0.527279217,0.57864,0.52728,0.52728,0.47525,0.68421,0.75,0.52728,0.57864,0.52728,0.57864,0.56494
202211_114.1413619_22.633429600000003.png,0.207601832,0.3875,0.49912,0.2076,0.32135,0.2076,0.75,0.49912,0.3875,0.49912,0.3875,0.332
202211_113.89438222471337_22.73412834603495.png,0.45421008,0.52644,0.52644,0.45421,0.49139,0.52644,0.45421,0.52644,0.52644,0.52644,0.52644,0.44062
201312_114.47875850000001_22.553592399999996.png,0.504633544,0.51589,0.50463,0.50463,0.53462,0.68241,0.55,0.50463,0.51589,0.50463,0.51589,0.55985
202103_114.0433253_22.542509600000002.png,0.503593469,0.57842,0.50359,0.50359,0.42861,0.61015,0.55,0.50359,0.57842,0.50359,0.57842,0.42783
202201_114.2731717_22.634134700000004.png,0.730929236,0.73093,0.73093,0.73093,0.7475,0.74258,0.75,0.73093,0.73093,0.73093,0.73093,0.6614
201312_114.4226865_22.63003519999999.png,0.444406973,0.47862,0.44441,0.74441,0.46195,0.58421,0.44441,0.44441,0.47862,0.44441,0.47862,0.4504
202211_114.1903821_22.654378699999995.png,0.453500865,0.4535,0.4535,0.4535,0.32899,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.44723
202211_113.8347799_22.784325.png,0.465087173,0.46509,0.46509,0.46509,0.43088,0.46509,0.465,0.46509,0.46509,0.46509,0.46509,0.32382
201709_113.9344939_22.552632599999995.png,0.504845719,0.57864,0.50485,0.50485,0.42926,0.62437,0.55,0.50485,0.57864,0.50485,0.57864,0.55495
201312_113.8235017_22.698809100000002.png,0.366146776,0.48215,0.41418,0.36615,0.31291,0.51418,0.35,0.41418,0.48215,0.41418,0.48215,0.35528
201902_114.0657778_22.551895000000002.png,0.482246398,0.5284,0.48225,0.48225,0.47968,0.58421,0.48225,0.48225,0.5284,0.48225,0.5284,0.45707
201403_114.02884416138046_22.76146747143481.png,0.196148344,0.15875,0.33925,0.21844,0.25639,0.2148,0.19615,0.33925,0.25875,0.33925,0.25875,0.24432
202212_113.9200199_22.4932087.png,0.430461078,0.47049,0.43047,0.43046,0.46348,0.46218,0.43046,0.43047,0.47049,0.43047,0.47049,0.56513
202211_114.23005136136408_22.7412320600931.png,0.538218946,0.53822,0.53822,0.4875,0.42158,0.61279,0.55,0.53822,0.53822,0.53822,0.53822,0.5
202211_113.8635362_22.560423499999995.png,0.528536466,0.5829,0.5289,0.52854,0.47228,0.5829,0.52854,0.5289,0.5829,0.5289,0.5829,0.56866
201312_114.1675356_22.644914899999993.png,0.52743472,0.52743,0.52743,0.52743,0.41269,0.62184,0.52743,0.52743,0.52743,0.52743,0.52743,0.54955
