full_path,year,lon,lat,score1,score,local_moran_i,local_moran_p,local_moran_quad,local_moran_category
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9849525_22.597865099999996.png,201311,113.9849525,22.5978651,0.49671,0.425,-0.016380548802005894,0.003,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9874162_22.598817899999997.png,201311,113.9874162,22.5988179,0.58621,0.41313,-0.025098365084614157,0.003,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9934289_22.598725899999998.png,201311,113.9934289,22.5987259,0.58254,0.7,0.17502575232976114,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9934635_22.605469299999996.png,201311,113.9934635,22.6054693,0.5376,0.416,-0.025561838267830005,0.001,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9956108_22.602901100000004.png,201311,113.9956108,22.6029011,0.17758,0.585,0.09994760443755041,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9978764_22.603342699999995.png,201311,113.9978764,22.6033427,0.65929,0.54386,0.07192296697596728,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.00419846671053_22.673102084815238.png,201311,114.0041985,22.67310208,0.57868,0.26146,0.008216336481692909,0.459,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.010794_22.5554258.png,201311,114.010794,22.5554258,0.61664,0.453,0.00400419014484347,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.0363794_22.549060799999996.png,201311,114.0363794,22.5490608,0.44198,0.41855,-0.040153668881833075,0.001,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.0367137_22.625328199999995.png,201311,114.0367137,22.6253282,0.55024,0.65447,0.10843677273454187,0.003,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.07813510000001_22.5592236.png,201311,114.0781351,22.5592236,0.48241,0.46077,0.012735794103400006,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.0918839_22.580004399999996.png,201311,114.0918839,22.5800044,0.31507,0.37008,-0.03647172398160829,0.009,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.108805_22.539949000000004.png,201311,114.108805,22.539949,0.40114,0.57976,0.10622472320927337,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1260936_22.5848949.png,201311,114.1260936,22.5848949,0.61775,0.50064,0.007132769428567817,0.239,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1329892_22.5822593.png,201311,114.1329892,22.5822593,0.31773,0.37038,-0.014544849517018833,0.182,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.13313586110559_22.60543104368196.png,201311,114.1331359,22.60543104,0.39625,0.30435,0.00994309047023128,0.39,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1331646_22.6036264.png,201311,114.1331646,22.6036264,0.54346,0.43018,0.002128918081376599,0.357,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.13318312310899_22.60182164061621.png,201311,114.1331831,22.60182164,0.152,0.6343,-0.05692321278682317,0.143,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1398083_22.565269999999995.png,201311,114.1398083,22.56527,0.3944,0.26613,-0.09716893853119288,0.025,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.14111260000001_22.612017599999994.png,201311,114.1411126,22.6120176,0.13593,0.39402,0.013703026249618035,0.093,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1422458_22.573539200000006.png,201311,114.1422458,22.5735392,0.379,0.686,0.04436767575709935,0.201,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.158799_22.6090681.png,201311,114.158799,22.6090681,0.62314,0.48447,-0.014184963634079102,0.028,4,HL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1664523_22.6055109.png,201311,114.1664523,22.6055109,0.46952,0.37658,0.01645647246795139,0.115,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.16919617982792_22.62714279983004.png,201311,114.1691962,22.6271428,0.21411,0.30981,0.05177608202268397,0.006,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1699075_22.572947699999997.png,201311,114.1699075,22.5729477,0.23894,0.45147,0.00045127602617364563,0.163,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1708255_22.6072058.png,201311,114.1708255,22.6072058,0.40177,0.46253,-0.004182140159186902,0.038,4,HL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1712754_22.5966659.png,201311,114.1712754,22.5966659,0.43665,0.575,-0.02798267730000414,0.095,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1715729_22.579913799999993.png,201311,114.1715729,22.5799138,0.52,0.41138,-0.004931247120784052,0.245,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1753739_22.602115699999995.png,201311,114.1753739,22.6021157,0.48567,0.416,0.006919729830026651,0.114,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1766153913743_22.62211635756483.png,201311,114.1766154,22.62211636,0.58,0.3292,0.0470704052175629,0.006,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.176878_22.581670799999998.png,201311,114.176878,22.5816708,0.675,0.66667,-0.024172551533511978,0.259,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1832046_22.5984266.png,201311,114.1832046,22.5984266,0.30313,0.44777,0.00036942916616554324,0.103,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1856469_22.5908533.png,201311,114.1856469,22.5908533,0.6311,0.45,-9.392974647922749e-05,0.159,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.1860739_22.6130437.png,201311,114.1860739,22.6130437,0.38668,0.29869,0.0502649050928247,0.008,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.186989_22.595263999999997.png,201311,114.186989,22.595264,0.385,0.49,-0.010240209781734877,0.09,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_114.231161_22.596456399999994.png,201311,114.231161,22.5964564,0.134,0.313,0.0872385506556071,0.001,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.78218214006371_22.68964439788343.png,201312,113.7821821,22.6896444,0.736,0.35047,0.047659088358192755,0.072,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.7839461_22.716497199999996.png,201312,113.7839461,22.7164972,0.55861,0.2201,0.04527131326619399,0.266,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.78476114628427_22.697658317071774.png,201312,113.7847611,22.69765832,0.55347,0.26146,0.06313901453655944,0.147,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8235017_22.698809100000002.png,201312,113.8235017,22.6988091,0.60739,0.3964,0.008193930594189972,0.26,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8278184_22.7315766.png,201312,113.8278184,22.7315766,0.646,0.29636,-0.0013054456023539854,0.497,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.830443_22.644925700000005.png,201312,113.830443,22.6449257,0.236,0.34443,0.05194711145450462,0.035,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.83443584337306_22.74126975401547.png,201312,113.8344358,22.74126975,0.39034,0.3033,0.01719792716174961,0.362,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8346455_22.695685499999996.png,201312,113.8346455,22.6956855,0.55798,0.28059,-0.011639720962892198,0.414,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.83572026600113_22.73146253989801.png,201312,113.8357203,22.73146254,0.46952,0.49,-0.007826549880917388,0.236,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8360353_22.761185699999995.png,201312,113.8360353,22.7611857,0.58352,0.26939,-0.002966516537130675,0.488,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.83718987956412_22.73739513103713.png,201312,113.8371899,22.73739513,0.3523,0.40049,0.003948588291519232,0.397,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8374755_22.647390599999994.png,201312,113.8374755,22.6473906,0.25479,0.45938,-0.004495965650922094,0.031,4,HL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.83914327807292_22.754952015391464.png,201312,113.8391433,22.75495202,0.46752,0.637,-0.06314567256655873,0.127,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8409926803816_22.75012227013069.png,201312,113.8409927,22.75012227,0.1804,0.24747,0.022931982826100625,0.338,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8530002_22.568199100000005.png,201312,113.8530002,22.5681991,0.71903,0.5363,0.01109073382375754,0.321,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.85651230262431_22.656305210826364.png,201312,113.8565123,22.65630521,0.46498,0.657,-0.024250608285518394,0.241,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8574523_22.571860800000003.png,201312,113.8574523,22.5718608,0.32375,0.45,0.00013391689987713885,0.21,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.85777283738314_22.642709229323334.png,201312,113.8577728,22.64270923,0.585,0.45667,-0.0014843246002945846,0.118,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8578372_22.5682381.png,201312,113.8578372,22.5682381,0.13156,0.45521,0.0011116105138107351,0.232,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.85980904184744_22.648029621847705.png,201312,113.859809,22.64802962,0.35358,0.25392,0.004896705900094296,0.414,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.860416_22.5694392.png,201312,113.860416,22.5694392,0.6789,0.297,-0.0611377478293808,0.077,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8659038_22.605222400000002.png,201312,113.8659038,22.6052224,0.58925,0.37781,-0.026108114789705907,0.065,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.876258209507_22.67064777876147.png,201312,113.8762582,22.67064778,0.545,0.26261,0.02078287111370507,0.209,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.88293720000001_22.8212419.png,201312,113.8829372,22.8212419,0.4262,0.41776,0.0128725101940463,0.073,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8844253_22.668941099999998.png,201312,113.8844253,22.6689411,0.44549,0.28531,0.02930509303695383,0.123,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8877873_22.674002400000003.png,201312,113.8877873,22.6740024,0.4696,0.31971,0.02045088192127147,0.156,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.89200644069061_22.81193671333176.png,201312,113.8920064,22.81193671,0.56132,0.34937,0.05167155835553759,0.022,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.89281280000002_22.556411099999995.png,201312,113.8928128,22.5564111,0.48241,0.59118,0.11812066371997548,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.8966185193665_22.67673893440902.png,201312,113.8966185,22.67673893,0.5278,0.27405,0.00857505510394188,0.391,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9001954_22.673202699999997.png,201312,113.9001954,22.6732027,0.31773,0.46315,-0.0007934367154873158,0.376,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9104919_22.707616799999997.png,201312,113.9104919,22.7076168,0.5376,0.55272,0.0042339241520988995,0.412,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9201526_22.757344299999996.png,201312,113.9201526,22.7573443,0.4,0.37861,-0.0006978758043295806,0.482,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.92843742482079_22.742538568001862.png,201312,113.9284374,22.74253857,0.17,0.52189,-0.009602604380598706,0.298,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.92896073426577_22.788379996341252.png,201312,113.9289607,22.78838,0.35318,0.45226,-0.0010259288121916004,0.135,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9319524_22.7820153.png,201312,113.9319524,22.7820153,0.51903,0.39442,0.01504385969037637,0.09,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.93225513663295_22.67354575658441.png,201312,113.9322551,22.67354576,0.14335,0.3935,-0.0037462428690108562,0.413,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.93280873958427_22.797684582528913.png,201312,113.9328087,22.79768458,0.62676,0.26146,0.12218173355016124,0.015,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.93289859477152_22.800449818195553.png,201312,113.9328986,22.80044982,0.41596,0.26146,0.11582420902336266,0.011,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9332992_22.683222899999997.png,201312,113.9332992,22.6832229,0.1804,0.46357,0.0005862421070121069,0.439,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.93568964381272_22.79704532316997.png,201312,113.9356896,22.79704532,0.51325,0.2701,0.10650347528008754,0.012,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9400991_22.675618299999996.png,201312,113.9400991,22.6756183,0.5376,0.4834,-0.0004837504984136944,0.451,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.940145_22.6708651.png,201312,113.940145,22.6708651,0.36264,0.52743,-0.006551720401547904,0.372,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9421799_22.6686978.png,201312,113.9421799,22.6686978,0.599,0.43,-0.0018927204855375289,0.315,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9429058_22.681555399999997.png,201312,113.9429058,22.6815554,0.2611,0.4378,0.00026050098587087077,0.443,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9447581_22.788198900000005.png,201312,113.9447581,22.7881989,0.2771,0.45886,-0.00410311494054116,0.013,4,HL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.94683940000002_22.745170999999996.png,201312,113.9468394,22.745171,0.236,0.47372,0.0008709452232233045,0.442,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.94687218395403_22.792900726064204.png,201312,113.9468722,22.79290073,0.58788,0.36353,0.04050128838481555,0.013,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.94724641296688_22.762202944327534.png,201312,113.9472464,22.76220294,0.61055,0.21432,-0.0069898002497935435,0.484,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.94748592446027_22.77183085041752.png,201312,113.9474859,22.77183085,0.236,0.47462,-0.0068759585359570675,0.088,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9485822_22.767552100000003.png,201312,113.9485822,22.7675521,0.538,0.35352,0.01462632480765684,0.248,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9522727_22.793913.png,201312,113.9522727,22.793913,0.35735,0.23063,0.07757764063659198,0.022,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.95310359293084_22.71916721241418.png,201312,113.9531036,22.71916721,0.50012,0.43209,0.005512722105882172,0.018,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9532978470833_22.688725149365723.png,201312,113.9532978,22.68872515,0.54303,0.3692,0.013126511546214324,0.224,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.95561950000001_22.7145902.png,201312,113.9556195,22.7145902,0.42957,0.2598,0.07645544604364243,0.013,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9569087_22.710923500000003.png,201312,113.9569087,22.7109235,0.51508,0.24976,0.11000003816155349,0.005,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9571939_22.735764799999995.png,201312,113.9571939,22.7357648,0.75333,0.41546,0.0018808934390064857,0.352,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.95807713632374_22.69596139553345.png,201312,113.9580771,22.6959614,0.46647,0.35062,0.02577765052753164,0.106,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9594006_22.7664273.png,201312,113.9594006,22.7664273,0.5436,0.4832,-0.014332351269445954,0.059,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.96037321245348_22.71031364112373.png,201312,113.9603732,22.71031364,0.45039,0.10827,0.13964215871465202,0.013,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9624331_22.795895.png,201312,113.9624331,22.795895,0.55837,0.4075,0.015462741347406163,0.008,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9629334_22.596588599999997.png,201312,113.9629334,22.5965886,0.44764,0.6912,0.20104794653713032,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.96347738401079_22.808961303980453.png,201312,113.9634774,22.8089613,0.40515,0.4,0.023730586839706004,0.013,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9639165641494_22.592330286341497.png,201312,113.9639166,22.59233029,0.305,0.50768,0.04777808898437106,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9663157_22.5911024.png,201312,113.9663157,22.5911024,0.42797,0.343,-0.09616143889056007,0.001,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9738335_22.7337.png,201312,113.9738335,22.7337,0.62314,0.48347,-0.005830086189973768,0.164,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.9768203_22.7324706.png,201312,113.9768203,22.7324706,0.25,0.47182,-0.003780311416842121,0.182,4,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.97725700000001_22.692804.png,201312,113.977257,22.692804,0.58606,0.26246,0.04226963606307451,0.199,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.97779910000001_22.583089800000003.png,201312,113.9777991,22.5830898,0.48,0.41881,-0.014528056303096327,0.003,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.98020260000001_22.706513.png,201312,113.9802026,22.706513,0.5248,0.266,0.03493821298327929,0.127,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201312_113.98465042947734_22.697789878371264.png,201312,113.9846504,22.69778988,0.2,0.465,-0.0058914459650810675,0.059,4,Not significant
