keyword,count,type
various,1,descriptor
pleasant aesthetic,1,descriptor
grass areas,1,object
paved,1,descriptor
water features,1,object
architectural elements,1,object
variety of greenery,1,descriptor
visual path,1,descriptor
prominent points of interest,1,descriptor
moderate ability to hold attention,1,descriptor
campus,1,object
landscaping,1,object
clean lines,1,descriptor
varying sizes,1,descriptor
paved roads,1,object
hard to be bored,1,descriptor
moderate fascination,1,descriptor
limited natural elements,1,descriptor
sense of order,1,descriptor
intense engagement,1,descriptor
mixture,1,descriptor
stimuli,1,descriptor
neat,1,descriptor
road markings,1,object
streetlights,1,object
lush foliage,1,descriptor
visual texture,1,descriptor
architectural styles,1,object
detail,1,descriptor
exploratory,1,descriptor
not overwhelmingly complex,1,descriptor
enough elements,1,descriptor
capture,1,descriptor
hold attention,1,descriptor
sports court,1,object
path,1,object
contained,1,descriptor
inviting,1,descriptor
large statue,1,object
natural environment,1,object
building architecture,1,object
stone bridge,1,object
nature,1,object
urban elements,1,object
juxtaposition,1,descriptor
expansive,1,descriptor
architectural variety,1,object
dynamic,1,descriptor
wooded area,1,object
reasonably hard to be bored,1,descriptor
lush trees,1,object
small pond,1,object
consistent green scenery,1,descriptor
organized layout,1,descriptor
predictable,1,descriptor
blend of nature and built environments,1,descriptor
size,1,descriptor
density,1,descriptor
colorful,1,descriptor
vibrancy,1,descriptor
engagement,1,descriptor
diverse,1,descriptor
built,1,descriptor
gentle exploration,1,descriptor
bridges,1,object
high score,1,descriptor
overall design,1,descriptor
minor points of interest,1,descriptor
rocks,1,object
good balance,1,descriptor
draw attention,1,descriptor
dominates,1,descriptor
not boring,1,descriptor
varying shades of green,1,descriptor
autumnal colors,1,descriptor
architectural elements,1,descriptor
simple,1,descriptor
sense of progression,1,descriptor
varying,1,descriptor
umbrella,1,object
lush greenery,1,descriptor
ornate,1,descriptor
highly stimulating,1,descriptor
unusual elements,1,descriptor
unlikely to be boring,1,descriptor
distinctly unique,1,descriptor
architectural style,1,object
natural features,1,object
layout,1,object
repetitive,1,descriptor
sterile,1,descriptor
visual variation,1,descriptor
somewhat engaging,1,descriptor
neatly manicured,1,descriptor
clear division,1,descriptor
multiple directions,1,descriptor
activity,1,descriptor
dominant,1,descriptor
apartment buildings,1,object
lawns,1,object
waterway,1,object
bridge,1,object
layered architecture,1,descriptor
moderately engaging,1,descriptor
