keyword,count,type
encouraging,1,descriptor
moderate sense of scope,1,descriptor
extends into the distance,1,descriptor
bordering,1,descriptor
immediate surroundings,1,descriptor
visible extent,1,descriptor
straight,1,descriptor
traffic cones,1,object
unlimited exploration,1,descriptor
opportunities for exploration,1,descriptor
restrictions,1,descriptor
feeling of freedom,1,descriptor
sky,1,object
predominantly urban,1,descriptor
perceived sense of vastness,1,descriptor
significant man-made,1,descriptor
horizon,1,object
movement,1,object
boundless,1,descriptor
construction barriers,1,object
areas of active work,1,object
breadth,1,descriptor
restrictive,1,descriptor
natural boundaries,1,descriptor
urban streetscape,1,object
paved area,1,object
building walls,1,object
open exploration,1,descriptor
limitless possibilities,1,descriptor
