keyword,type,count
clear layout,descriptor,19
restricted,descriptor,19
perceived boundaries,descriptor,19
paved walkways,object,19
urban landscape,object,19
prevent boredom,descriptor,19
road infrastructure,object,19
perceived scope,descriptor,19
unbounded,descriptor,19
responsibilities,descriptor,19
possibilities for movement,descriptor,19
visible extent,descriptor,18
moderate scope,descriptor,18
organizational structure,descriptor,18
intended place,descriptor,18
vehicle,object,18
moderate score,descriptor,18
routine,descriptor,18
layout,object,18
limited scope,descriptor,18
water feature,object,18
neatly planted,descriptor,18
capture attention,descriptor,18
larger area,descriptor,18
extensive exploration possibilities,descriptor,18
open space,object,18
hustle and bustle,descriptor,18
maintained,descriptor,18
moderate sense of scope,descriptor,18
typical demands,descriptor,18
striking,descriptor,18
clear lines,descriptor,18
lampposts,object,17
sense of exploration,descriptor,17
hard to be bored,descriptor,17
easily understandable,descriptor,17
pavement,object,17
well-structured,descriptor,17
visual cues,descriptor,17
simple,descriptor,17
freedom of movement,descriptor,17
not expansive,descriptor,17
varied textures,descriptor,17
park,object,17
bridge,object,17
built environment,object,17
bordering,descriptor,17
grounds,object,16
scooters,object,16
open road,object,16
typical urban nuisances,descriptor,16
continuous,descriptor,16
complete detachment,descriptor,16
visual,descriptor,16
inherent fascination,descriptor,16
restorative,descriptor,16
everyday life,descriptor,16
intricate,descriptor,16
spaces,object,16
daily stressors,descriptor,16
suburban,descriptor,16
limited visual interest,descriptor,16
complexity,descriptor,16
visual separation,descriptor,16
clear division,descriptor,15
disconnect,descriptor,15
structured environment,descriptor,15
deep engagement,descriptor,15
unkempt,descriptor,15
urban elements,object,15
aligned,descriptor,15
campus area,object,15
varying,descriptor,15
visual boundaries,descriptor,15
obligations,descriptor,15
materials,object,15
larger environment,descriptor,15
sports courts,object,15
stadium,object,15
overall layout,descriptor,15
stretching,descriptor,15
orderly arrangement,descriptor,15
windows,object,15
lined,descriptor,15
overcast sky,descriptor,15
curving,descriptor,15
opportunities for exploration,descriptor,15
retreat,descriptor,15
bustling,descriptor,15
deliberate design,descriptor,15
lane markings,object,15
disjointed,descriptor,15
extends into the distance,descriptor,15
quietness,descriptor,14
extent,descriptor,14
planned layout,descriptor,14
pedestrian paths,object,14
quiet street,object,14
away,descriptor,14
moderate sense of escape,descriptor,14
tree-lined paths,object,14
novelty,descriptor,14
parking,object,14
visible area,descriptor,14
distant buildings,object,14
disorganized,descriptor,14
systematic,descriptor,14
urban distractions,descriptor,14
residential area,object,14
restrict,descriptor,14
hold attention,descriptor,14
natural setting,descriptor,14
strong sense of escape,descriptor,14
parallel,descriptor,14
visual depth,descriptor,14
discover,descriptor,14
subtle,descriptor,13
various,descriptor,13
tree-lined path,object,13
expansiveness,descriptor,13
sidewalk,object,13
clear structure,descriptor,13
broader,descriptor,13
orderliness,descriptor,13
immediate demands,descriptor,13
potential exploration,descriptor,13
enclosed,descriptor,13
car,object,13
navigate,descriptor,13
mix,descriptor,13
overall arrangement,descriptor,13
refuge,object,13
pond,object,13
fallen leaves,object,13
natural buffer,descriptor,13
flanked,descriptor,13
sense of coherence,descriptor,13
feeling of being away,descriptor,13
demanding tasks,descriptor,13
temporary escape,descriptor,13
visual complexity,descriptor,13
controlled,descriptor,12
moderate sense of being away,descriptor,12
developed area,descriptor,12
degree of separation,descriptor,12
gentle,descriptor,12
various directions,descriptor,12
daily life,descriptor,12
spacious,descriptor,12
uniformly designed,descriptor,12
explore,descriptor,12
not overly confined,descriptor,12
man-made,descriptor,12
points of interest,descriptor,12
architectural variety,descriptor,12
built environment,descriptor,12
natural beauty,descriptor,12
naturalistic,descriptor,12
rich,descriptor,12
building architecture,object,12
repetitive nature,descriptor,12
unique elements,descriptor,12
straightforward,descriptor,12
moderate coherence,descriptor,12
sterile,descriptor,12
chaotic,descriptor,12
signage,object,12
temporary,descriptor,12
implicit boundaries,descriptor,12
activity,descriptor,12
cyclist,object,12
industrial,descriptor,12
limitless exploration,descriptor,12
lush trees,object,11
not a complete escape,descriptor,11
open sky,object,11
sense of being away,descriptor,11
comprehensibility,descriptor,11
semi-urban,descriptor,11
move about,descriptor,11
feeling of boundless exploration,descriptor,11
structured manner,descriptor,11
expansive possibilities,descriptor,11
roadways,object,11
moderately expansive,descriptor,11
exceptionally captivating,descriptor,11
sense of vastness,descriptor,11
cityscape,object,11
opportunities for movement,descriptor,11
visual experience,descriptor,11
density,descriptor,11
apparent,descriptor,11
urban elements,descriptor,11
daily pressures,descriptor,11
ample space,descriptor,11
easy to follow,descriptor,11
bustle,descriptor,11
structured layout,descriptor,11
everyday nuisances,descriptor,11
reasonable scope,descriptor,11
natural features,object,11
juxtaposition,descriptor,11
urban streetscape,object,11
designed,descriptor,11
curbs,object,11
urban buildings,object,11
draw attention,descriptor,11
stretches,descriptor,11
planned environment,descriptor,11
urban architecture,object,11
bicycle,object,11
construction site,object,11
overwhelming,descriptor,11
unlimited exploration,descriptor,11
sense of space,descriptor,11
inhabited,descriptor,11
urban stressors,descriptor,10
fascinating,descriptor,10
crowds,object,10
construction elements,object,10
complex,descriptor,10
difficult to be bored,descriptor,10
logical arrangement,descriptor,10
proper places,descriptor,10
not overwhelming,descriptor,10
natural complexity,descriptor,10
wild,descriptor,10
tree lines,object,10
natural element,descriptor,10
surroundings,object,10
tidiness,descriptor,10
clear sightlines,descriptor,10
planted areas,object,10
further exploration,descriptor,10
moderate visual interest,descriptor,10
unbounded exploration,descriptor,10
easy to navigate,descriptor,10
overall,descriptor,10
repeating patterns,descriptor,10
ongoing,descriptor,10
urban context,object,10
captivating elements,descriptor,10
industrial buildings,object,10
manicured greenery,object,10
open green spaces,object,10
minimal traffic,descriptor,10
understandability,descriptor,10
visually interesting,descriptor,10
view,descriptor,10
clear delineation,descriptor,10
clean lines,descriptor,10
barriers,object,10
possibilities for exploration,descriptor,10
walkway,object,10
cohesive,descriptor,10
manicured bushes,object,10
ordinary,descriptor,10
possibility for exploration,descriptor,10
street view,object,10
captivating details,descriptor,9
ease of understanding,descriptor,9
planters,object,9
pedestrians,object,9
parking area,object,9
clarity,descriptor,9
visual variety,descriptor,9
green space,object,9
fit together,descriptor,9
designated places,descriptor,9
common,descriptor,9
winding road,object,9
built,descriptor,9
perfect coherence,descriptor,9
visual flow,descriptor,9
explorable,descriptor,9
broad exploration,descriptor,9
continuation,descriptor,9
exploration possibilities,descriptor,9
perfect,descriptor,9
man-made structures,object,9
horizon,object,9
high fascination,descriptor,9
consistent placement,descriptor,9
urban infrastructure,descriptor,9
vista,object,9
lane dividers,object,9
immediate area,descriptor,9
rich detail,descriptor,9
panoramic,descriptor,9
urban area,object,9
pedestrian areas,object,9
low score,descriptor,9
terrain,object,9
repeating,descriptor,9
water features,object,9
space,descriptor,9
decent sense of being away,descriptor,9
extensive movement,descriptor,9
decent,descriptor,9
typical daily demands,descriptor,9
natural escape,descriptor,9
open spaces,descriptor,9
seamless,descriptor,9
sparse,descriptor,9
complete refuge,descriptor,9
planned development,descriptor,9
disrupt,descriptor,9
paved path,object,9
waterway,object,9
sustained interest,descriptor,9
aesthetically pleasing,descriptor,9
peaceful ambiance,descriptor,8
low fascination,descriptor,8
overall environment,descriptor,8
absence of people,descriptor,8
roadway,object,8
paving stones,object,8
intersecting,descriptor,8
fencing,object,8
work,descriptor,8
interplay,descriptor,8
vistas,object,8
overall coherence,descriptor,8
demanding thoughts,descriptor,8
work-related,descriptor,8
moderately coherent,descriptor,8
well-kept,descriptor,8
not a complete refuge,descriptor,8
visual expanse,descriptor,8
spatial relationships,descriptor,8
disarray,descriptor,8
urban life,descriptor,8
proper,descriptor,8
visual elements,descriptor,8
regular,descriptor,8
daily worries,descriptor,8
paving,object,8
urban design,object,8
perception,descriptor,8
absence of crowds,descriptor,8
numerous directions,descriptor,8
possibility for movement,descriptor,8
worries,descriptor,8
nature,descriptor,8
complete,descriptor,8
stimulating,descriptor,8
boundless possibilities,descriptor,8
benches,object,8
background,descriptor,8
fragmented,descriptor,8
subdued,descriptor,8
signs,object,8
setting,object,8
visibility,descriptor,8
reasonable degree of order,descriptor,8
curiosity,descriptor,8
cyclists,object,8
manicured areas,object,8
reasonable,descriptor,8
easy to perceive,descriptor,8
wander,descriptor,8
deep fascination,descriptor,8
parked,descriptor,8
limitless,descriptor,8
uneven,descriptor,8
diverging,descriptor,8
tree line,object,8
good degree of order,descriptor,8
visual stimulation,descriptor,8
few immediate boundaries,descriptor,8
restricts,descriptor,8
monotony,descriptor,8
linear arrangement,descriptor,8
significant,descriptor,8
person,object,8
gentle curve,descriptor,8
lining,descriptor,8
implied,descriptor,8
unexpected,descriptor,8
stressors,descriptor,8
curves,descriptor,7
lower score,descriptor,7
sense of freedom,descriptor,7
neatly organized,descriptor,7
unlikely,descriptor,7
delineated,descriptor,7
unusual,descriptor,7
neatly manicured,descriptor,7
expansive exploration,descriptor,7
relatively,descriptor,7
natural features,descriptor,7
familiar,descriptor,7
daily concerns,descriptor,7
extending into the distance,descriptor,7
clear arrangement,descriptor,7
organized structure,descriptor,7
not vastness,descriptor,7
campus street,object,7
architectural style,descriptor,7
discernible pattern,descriptor,7
understanding,descriptor,7
limited variety,descriptor,7
functional space,descriptor,7
sanctuary,descriptor,7
seamless organization,descriptor,7
institutional building,object,7
unfinished,descriptor,7
landscaped greenery,object,7
directions,descriptor,7
paved area,object,7
freely,descriptor,7
public space,descriptor,7
walking paths,object,7
scattering,descriptor,7
symmetrical layout,descriptor,7
truly away,descriptor,7
vast expanse,descriptor,7
bounded,descriptor,7
varying textures,descriptor,7
blend,descriptor,7
lamppost,object,7
disengage,descriptor,7
branching,descriptor,7
visually organized,descriptor,7
less engaging,descriptor,7
moderately sized,descriptor,7
implied boundaries,descriptor,7
banners,object,7
undeveloped,descriptor,7
potential for fascination,descriptor,7
engaging elements,descriptor,7
similar,descriptor,7
everyday worries,descriptor,7
purpose,descriptor,7
peace,descriptor,7
fence,object,7
overall composition,descriptor,7
visual break,descriptor,7
distinct features,descriptor,7
overall uniformity,descriptor,7
peacefulness,descriptor,7
limitless exploration possibilities,descriptor,7
consistent design,descriptor,7
typical nuisances,descriptor,7
flow,descriptor,7
different elements,descriptor,7
journey,descriptor,7
specific,descriptor,7
strong coherence,descriptor,7
easily understood,descriptor,7
environment,descriptor,7
moderate level of coherence,descriptor,7
unified,descriptor,7
feeling of escape,descriptor,7
forks,descriptor,7
logically placed,descriptor,7
usual demands,descriptor,7
limitless possibilities,descriptor,7
mental disengagement,descriptor,7
mildly engaging,descriptor,6
immediate environment,descriptor,6
landscaped,descriptor,6
highly captivating,descriptor,6
broad view,descriptor,6
overall scene,descriptor,6
strong focal points,descriptor,6
unrestricted exploration,descriptor,6
empty,descriptor,6
details,descriptor,6
expansive movement,descriptor,6
minimal activity,descriptor,6
visual harmony,descriptor,6
landscapes,object,6
urban layout,object,6
pathways,descriptor,6
immediate foreground,descriptor,6
dominance,descriptor,6
everything has its place,descriptor,6
perfect sense of order,descriptor,6
perceived possibilities,descriptor,6
winding paths,object,6
scale,descriptor,6
pedestrian pathways,object,6
markings,object,6
detach,descriptor,6
intentionally designed,descriptor,6
inviting,descriptor,6
easily navigable,descriptor,6
aesthetic,descriptor,6
intended,descriptor,6
lack of clear order,descriptor,6
basketball courts,object,6
exceptionally engaging,descriptor,6
uniformly planted,descriptor,6
architectural structures,object,6
weeping willows,object,6
mental departure,descriptor,6
placement,descriptor,6
transition,descriptor,6
lacking,descriptor,6
residential complex,object,6
walk,descriptor,6
uncluttered,descriptor,6
lacks elements,descriptor,6
transit,descriptor,6
man-made structures,descriptor,6
harmony,descriptor,6
defined limits,descriptor,6
profound,descriptor,6
separate,descriptor,6
tree-lined roads,object,6
limited visual complexity,descriptor,6
not secluded,descriptor,6
discernible order,descriptor,6
meticulously maintained,descriptor,6
everyday distractions,descriptor,6
fork in the road,object,6
dappled,descriptor,6
neatly paved,descriptor,6
not wild,descriptor,6
clouds,object,6
sunlight,object,6
unexplored,descriptor,6
concrete surfaces,object,6
confinement,descriptor,6
ongoing activity,descriptor,6
recreational,descriptor,6
feeling of openness,descriptor,6
construction zone,object,6
urban planning,descriptor,6
feeling of vastness,descriptor,6
different parts,descriptor,6
not captivating,descriptor,6
tennis courts,object,6
sense of structure,descriptor,6
tennis court,object,6
lines,object,6
focal points,descriptor,6
not extensive,descriptor,6
considerable,descriptor,6
relaxation,descriptor,6
suburban setting,object,6
limited opportunities,descriptor,6
extend into the distance,descriptor,6
high coherence,descriptor,6
campus-like,descriptor,6
organized placement,descriptor,6
campus layout,object,6
not a refuge,descriptor,6
high,descriptor,6
captivating quality,descriptor,6
central,descriptor,6
open pathways,object,6
subtle boundaries,descriptor,6
repeated patterns,descriptor,6
distinct areas,descriptor,6
explored,descriptor,6
strong refuge,descriptor,6
clear presence,descriptor,6
vista,descriptor,6
understandable layout,descriptor,6
possibility of exploration,descriptor,6
detract,descriptor,5
different,descriptor,5
typical urban hustle,descriptor,5
moderately interesting,descriptor,5
mixed,descriptor,5
difficult,descriptor,5
movement possibilities,descriptor,5
enclosure,descriptor,5
distinct focal points,descriptor,5
typical concerns,descriptor,5
scooter,object,5
truck,object,5
discovering,descriptor,5
tree cover,object,5
sculpture,object,5
moderately hard to be bored,descriptor,5
room to move,descriptor,5
detail,descriptor,5
disconnected,descriptor,5
minimal human activity,descriptor,5
room for exploration,descriptor,5
unbounded movement,descriptor,5
either side,descriptor,5
distinct separation,descriptor,5
distinct refuge,descriptor,5
truly 'away',descriptor,5
easy navigation,descriptor,5
moderate level of visual interest,descriptor,5
entrance,object,5
mature,descriptor,5
ease,descriptor,5
natural area,object,5
general layout,descriptor,5
lily pads,object,5
good coherence,descriptor,5
walls,object,5
clear path,descriptor,5
wandering,descriptor,5
open layout,descriptor,5
predictable arrangement,descriptor,5
atmosphere,object,5
open green areas,object,5
plain,descriptor,5
clear sky,object,5
waterfront,object,5
infrastructure,descriptor,5
further areas,descriptor,5
orderly layout,descriptor,5
novel elements,descriptor,5
further,descriptor,5
sparse activity,descriptor,5
profound escape,descriptor,5
architectural,descriptor,5
colorful,descriptor,5
surrounding greenery,object,5
common nuisances,descriptor,5
functional buildings,object,5
paved pathway,object,5
well-ordered,descriptor,5
integration,descriptor,5
paved walkway,object,5
somewhat uniform,descriptor,5
street intersection,object,5
complete departure,descriptor,5
strong presence,descriptor,5
visual richness,descriptor,5
populated,descriptor,5
bridges,object,5
strong element,descriptor,5
visual stimuli,descriptor,5
buffer,descriptor,5
visual escape,descriptor,5
park-like area,object,5
boring,descriptor,5
building designs,object,5
plaza,object,5
highly engaging,descriptor,5
large windows,object,5
bus stop,object,5
structured appearance,descriptor,5
overall fascination,descriptor,5
visual appeal,descriptor,5
strong sense of coherence,descriptor,5
calming,descriptor,5
campus setting,object,5
visible expanse,descriptor,5
situated,descriptor,5
canopy,object,5
capacity for exploration,descriptor,5
captivating detail,descriptor,5
visually pleasant,descriptor,5
organized arrangement,descriptor,5
captivating potential,descriptor,5
sustained engagement,descriptor,5
spatial layout,descriptor,5
wide road,object,5
sense of discovery,descriptor,5
logically arranged,descriptor,5
containment,descriptor,5
contemplation,descriptor,5
sustained fascination,descriptor,5
tidy,descriptor,5
urban layout,descriptor,5
controlled environment,descriptor,5
relative quietness,descriptor,5
crosswalks,object,5
relatively uniform,descriptor,5
remote,descriptor,5
daily activities,descriptor,5
urban development,object,5
periphery,descriptor,5
maintenance,descriptor,5
construction barriers,object,5
navigable,descriptor,5
deeply engaged,descriptor,5
sense of depth,descriptor,5
tranquil atmosphere,descriptor,5
natural setting,object,5
sense of breadth,descriptor,5
natural refuge,descriptor,5
sports facilities,object,5
natural landscape,descriptor,5
demanding environments,descriptor,5
residential street,object,5
transitional,descriptor,5
manicured lawns,object,5
design,descriptor,5
logical manner,descriptor,5
immediate boundaries,descriptor,5
few boundaries,descriptor,5
spontaneous,descriptor,5
reasonable degree of coherence,descriptor,5
conducive,descriptor,5
sense of wonder,descriptor,5
wilderness,descriptor,5
perspective,descriptor,5
urban planning,object,5
urbanized,descriptor,5
logical flow,descriptor,5
intentionally arranged,descriptor,5
usual,descriptor,5
physical layout,descriptor,5
complex details,descriptor,5
textures,descriptor,5
abundant greenery,descriptor,5
connection,descriptor,5
aesthetic appeal,descriptor,5
edges,object,4
easy comprehension,descriptor,4
stream,object,4
immediate concerns,descriptor,4
lack of distinct features,descriptor,4
scattered leaves,object,4
easily discernible,descriptor,4
intrigue,descriptor,4
static,descriptor,4
lack,descriptor,4
edges,descriptor,4
scaffolding,object,4
stadium structure,object,4
institutional setting,object,4
industrial setting,object,4
standard,descriptor,4
interconnected,descriptor,4
intentionally placed,descriptor,4
industrial-looking buildings,object,4
street infrastructure,object,4
interesting details,descriptor,4
street markings,object,4
easy-to-understand,descriptor,4
lack of dynamic elements,descriptor,4
institutional architecture,object,4
ease of navigation,descriptor,4
immersive,descriptor,4
laid out,descriptor,4
immediate limitations,descriptor,4
individuals,object,4
grand,descriptor,4
human activity,descriptor,4
surprising,descriptor,4
limited view,descriptor,4
limited visible activity,descriptor,4
functional areas,object,4
functional area,descriptor,4
limited visual novelty,descriptor,4
sustained,descriptor,4
enough,descriptor,4
tree-lined pathways,object,4
serene atmosphere,descriptor,4
symmetrical placement,descriptor,4
framing,descriptor,4
foreground,descriptor,4
sense of separation,descriptor,4
sense of progression,descriptor,4
lived-in,descriptor,4
location,object,4
few,descriptor,4
logical layout,descriptor,4
fenced areas,object,4
feeling of refuge,descriptor,4
low,descriptor,4
extent of exploration,descriptor,4
lush greenery,descriptor,4
sense of enclosure,descriptor,4
sense of direction,descriptor,4
expansive freedom,descriptor,4
tranquility,descriptor,4
engaging features,descriptor,4
trimmed,descriptor,4
large area,descriptor,4
surprise,descriptor,4
strong fascination,descriptor,4
strong focal point,descriptor,4
highly fascinating,descriptor,4
largely defined,descriptor,4
mildly captivating,descriptor,4
high degree of order,descriptor,4
high degree of coherence,descriptor,4
skies,object,4
strongly capture,descriptor,4
strongly draw attention,descriptor,4
endless exploration,descriptor,4
structured arrangement,descriptor,4
grassy spaces,object,4
true escape,descriptor,4
evident,descriptor,4
substantial,descriptor,4
getaway,descriptor,4
gentle exploration,descriptor,4
gentle engagement,descriptor,4
subtle variations,descriptor,4
generic,descriptor,4
subtly limit,descriptor,4
engaging details,descriptor,4
limited exploration,descriptor,4
general,descriptor,4
limited fascination,descriptor,4
functionality,descriptor,4
surrounding greenery,descriptor,4
natural areas,object,4
present,descriptor,4
ongoing construction,descriptor,4
peaceful atmosphere,descriptor,4
neatly laid out,descriptor,4
open expanse,descriptor,4
open areas,descriptor,4
wide-angle,descriptor,4
paving patterns,object,4
bins,object,4
areas for movement,descriptor,4
decorative,descriptor,4
developing,descriptor,4
areas of greenery,object,4
uniform nature,descriptor,4
detracts,descriptor,4
not overly stimulating,descriptor,4
neatly lined,descriptor,4
visual organization,descriptor,4
river,object,4
urban design,descriptor,4
comprehensible,descriptor,4
visual orderliness,descriptor,4
wider,descriptor,4
vast exploration possibilities,descriptor,4
power lines,object,4
concrete,object,4
width,descriptor,4
architectural styles,descriptor,4
brief respite,descriptor,4
physical order,descriptor,4
neighborhood,object,4
concrete structures,object,4
unexplored directions,descriptor,4
ample room,descriptor,4
occupied,descriptor,4
unexpected discoveries,descriptor,4
not perfectly seamless,descriptor,4
public,descriptor,4
well-integrated,descriptor,4
dense foliage,object,4
unique natural features,descriptor,4
demands of daily life,descriptor,4
progression,descriptor,4
unobstructed,descriptor,4
parking bays,object,4
not remote,descriptor,4
varied elements,descriptor,4
park-like,descriptor,4
unlimited,descriptor,4
patterned,descriptor,4
park-like areas,object,4
park area,object,4
parked car,object,4
unique details,descriptor,4
panoramic view,object,4
preventing boredom,descriptor,4
utilitarian structures,object,4
repetitive architectural style,descriptor,4
designated parking areas,object,4
utilitarian nature,descriptor,4
appealing,descriptor,4
defined edges,descriptor,4
clearly delineated,descriptor,4
unusual elements,descriptor,4
uniformly spaced,descriptor,4
defined area,descriptor,4
urban backdrop,object,4
parked scooters,object,4
broad scope,descriptor,4
neatness,descriptor,4
room for movement,descriptor,4
urban green space,object,4
visual coherence,descriptor,4
organizational,descriptor,4
underlying structure,descriptor,4
capture,descriptor,4
distinct elements,descriptor,4
undergrowth,object,4
urban space,object,4
reasonable sense of scope,descriptor,4
consistent spacing,descriptor,4
building styles,object,4
campus-like setting,object,4
urban noise,descriptor,4
visually stimulating,descriptor,4
organized design,descriptor,4
regularly spaced,descriptor,4
capacity for movement,descriptor,4
perceived freedom,descriptor,4
unbounded possibilities,descriptor,4
captivated,descriptor,4
