image_path,text
.\image\201603_120.2626988_31.48932304.png,"This image could taken in Spring. This street view shows a quiet urban landscape featuring a split road lined with trees on both sides. On the left is a pedestrian area with parked bicycles and some people walking. Middle-ground buildings appear to be residential or institutional, with open fields and sparse vegetation in the distance. The right side reveals more parked bikes, a grassy field, and evenly spaced trees along the pavement. Clear skies and shadows from the trees indicate sunny weather. The scene feels calm and organized, with a mix of urban and natural elements. The restorative indicator scores are:
- Being-away: 0.46554
- Coherence: 0.11942
- Scope: 0.63243
- Fascination: 0.12805
- Average Score: 0.33636"
.\image\201603_120.2633177_31.48890047.png,"This image could taken in Spring. This street view captures a peaceful urban scene with a wide, tree-lined road flanked by sidewalks and patches of greenery. On the left, freshly tilled soil and smaller plants occupy the area, while the right side shows trimmed bushes and open grassy fields. A few people walk along the sidewalk, adding life to an otherwise serene environment. The road features a yellow center line, leading toward a distant cluster of buildings. The streetlights and evenly spaced trees provide structure to the landscape, while gentle sunlight illuminates the scene under a clear sky. The area suggests a blend of urban and natural elements. The restorative indicator scores are:
- Being-away: 0.39518
- Coherence: 0.82009
- Scope: 0.35568
- Fascination: 0.38136
- Average Score: 0.48808"
.\image\201603_120.2635206_31.47676891.png,"This image could taken in Spring. The image shows a split-view of a semi-industrial area on an overcast day. On the left, a quiet road lined with trees and a small canal leads past low white buildings. On the right, a similar road runs adjacent to a modern, multi-story glass-fronted building surrounded by trimmed grass. Sparse trees, streetlights, and parked vehicles are visible. The area appears to be clean and organized, with a mix of offices, warehouse structures, and greenery, offering an industrial-urban blend. The scene is calm, possibly part of an industrial park or business district. A camera mount on a vehicle edge is visible. The restorative indicator scores are:
- Being-away: 0.61265
- Coherence: 0.53091
- Scope: 0.68047
- Fascination: 0.47358
- Average Score: 0.57440"
.\image\201603_120.2636038_31.48856386.png,"This image could taken in Spring. This image depicts a quiet street on a sunny day, lined with well-spaced, leafy trees on both sides. A cyclist is seen riding on the far-right side of the road, while a pedestrian pathway and neatly maintained green spaces with young plants flank the street. The road has clear yellow center lines and speed bump markers, leading to a crossroads in the distance with low-rise buildings visible. The sky is bright and clear, suggesting pleasant weather. Overall, it portrays a calm and organized urban environment with ample greenery. The restorative indicator scores are:
- Being-away: 0.54208
- Coherence: 0.46939
- Scope: 0.13281
- Fascination: 0.13068
- Average Score: 0.31874"
.\image\201603_120.2631654_31.48116773.png,"This image could taken in Spring. The image showcases a clean, modern street with multiple roads intersecting. Lined with trees and greenery, the area appears well-maintained and organized. Contemporary buildings with large windows and muted colors surround the area, suggesting an institutional or corporate campus. The paved sidewalks and manicured landscaping indicate thoughtful urban planning, while the absence of traffic gives a peaceful vibe. The sky is bright and clear, creating a calm, open atmosphere. The restorative indicator scores are:
- Being-away: 0.67055
- Coherence: 0.32120
- Scope: 0.86301
- Fascination: 0.54103
- Average Score: 0.59895"
.\image\201603_120.2637847_31.47988518.png,"This image could taken in Spring. The image captures a quiet, wide street bordered by multi-story buildings on both sides. A row of traffic cones divides the road, which appears clean and lightly used. On the right, there is a large residential or institutional building with uniform windows and air-conditioning units. The left side shows a park-like area with neatly arranged trees, shrubs, and a walkway. The sky is clear, suggesting pleasant weather. A vehicle's roof is partially visible in the foreground, and a few people are walking in the distance. The ambiance feels orderly and urban, with touches of greenery enhancing the landscape. The restorative indicator scores are:
- Being-away: 0.39279
- Coherence: 0.46956
- Scope: 0.80355
- Fascination: 0.13576
- Average Score: 0.45041"
.\image\201603_120.2639115_31.48466944.png,"This image could taken in Spring. This street view image depicts a peaceful roadway splitting into two paths alongside a scenic bridge. The bridge is bordered by light-colored railings, with sidewalks offering pedestrian access. The left side features lush greenery and modern buildings, likely part of an urban setting. The right side showcases more trees and distant hills, creating a harmonious mix of city and nature. A calm water body extends beneath the bridge, reflecting the sky above. The clear blue sky is dotted with soft white clouds, adding brightness to the scene. The perspective includes the roof of a vehicle in the foreground. The restorative indicator scores are:
- Being-away: 0.54315
- Coherence: 0.60552
- Scope: 0.74505
- Fascination: 0.59883
- Average Score: 0.62314"
.\image\201603_120.2639548_31.48188145.png,"This image could taken in Spring. This street view depicts a campus-like setting with multi-story buildings on either side and a central pathway. The area is lined with numerous parked bicycles and motorized scooters. Sparse trees and green landscaping can be seen, along with a few scattered cars in the background. The buildings feature modern architecture with grid-patterned windows. The scene reflects a sunny, partially clear day with an organized layout, likely a university or residential complex. The restorative indicator scores are:
- Being-away: 0.11243
- Coherence: 0.11765
- Scope: 0.13658
- Fascination: 0.13929
- Average Score: 0.12649"
.\image\201603_120.263979_31.47770545.png,"This image could taken in Spring. The image shows an industrial or storage area with white buildings featuring barred windows and external air conditioning units. The street is lined with parked vehicles, including blue and red trucks. Metal cages, sacks, and industrial materials are scattered around. A red-roofed building is visible on the left, while to the center and right, trees and apartment-style residential buildings rise in the distance. The area appears utilitarian and functional, with an overcast sky adding a neutral tone to the scene. It's likely part of a warehouse or manufacturing facility with adjoining housing blocks nearby. The restorative indicator scores are:
- Being-away: 0.11647
- Coherence: 0.12024
- Scope: 0.14116
- Fascination: 0.14312
- Average Score: 0.13025"
.\image\201603_120.2640284_31.48741443.png,"This image could taken in Spring. This street view shows a wide, clean road flanked by trees and sidewalks, with scattered pedestrians and a cyclist. Buildings with modern architecture, likely institutional or office spaces, line both sides of the street. The trees are lush and green, interspersed with pink flowering bushes, suggesting a springtime setting. The sky is clear and bright, creating a pleasant and serene atmosphere. The road markings and pedestrian areas are well-organized, and the scene feels spacious and orderly. A vehicle's rear is visible in the foreground, offering perspective from a mounted camera or car-top view. The restorative indicator scores are:
- Being-away: 0.46407
- Coherence: 0.46938
- Scope: 0.35248
- Fascination: 0.37870
- Average Score: 0.41616"
.\image\201603_120.2639927_31.48491071.png,"This image could taken in Spring. The image depicts a street view featuring a wide, two-lane road with yellow divider lines. On both sides, sidewalks are lined with trees and lampposts. A bridge crosses over a green area with lush vegetation, and behind it, a mix of residential and commercial buildings is visible. To the right, distant hills and open sky provide a scenic backdrop. Two motorbikes are parked on the sidewalk near the bridge. The image is taken from a vehicle, with the car’s roof partially visible at the bottom. The area appears calm, with minimal traffic and pedestrians. The restorative indicator scores are:
- Being-away: 0.46399
- Coherence: 0.86729
- Scope: 0.63289
- Fascination: 0.60008
- Average Score: 0.64106"
.\image\201603_120.2640636_31.49193366.png,"This image could taken in Spring. This street view captures a clean, organized residential or campus-like area on a sunny day. Low-rise buildings constructed in modern architectural styles are seen on both sides. They are enclosed by fences, with green spaces featuring trimmed bushes and trees lining the streets. Well-paved roads run through, flanked by sidewalks and grass, leading deeper into the complex. A small vehicle can be seen on the road, and parked cars are visible near the buildings. The overall atmosphere is peaceful, with signs of careful landscaping and urban planning. Sparse traffic and empty sidewalks add to its tranquil feel. The restorative indicator scores are:
- Being-away: 0.11607
- Coherence: 0.12139
- Scope: 0.14473
- Fascination: 0.14632
- Average Score: 0.13212"
.\image\201603_120.2640767_31.49074493.png,"This image could taken in Spring. The image depicts a residential or institutional street, flanked by mid-rise buildings with beige brick facades and numerous windows featuring air conditioning units. Scooters are neatly lined up on both sides of the road, while trees and grassy areas border the pavement. A green cart loaded with packages stands on the left, along with a person organizing parcels nearby. Pedestrians and parked vehicles can be spotted further along the street. The scene appears sunny and calm, with light activity suggesting a typical urban neighborhood or campus setting. The restorative indicator scores are:
- Being-away: 0.11913
- Coherence: 0.12349
- Scope: 0.35182
- Fascination: 0.14928
- Average Score: 0.18593"
.\image\201603_120.2642091_31.48233263.png,"This image could taken in Spring. The image showcases a quiet urban street lined with modern mid-rise residential or office buildings. The area features neatly organized trees and trimmed hedges, suggesting a well-maintained environment. Several parked cars and bicycles line the street, with a few vehicles in motion. A small blue tent-like structure is visible, potentially serving a temporary purpose. The day is clear with soft sunlight and a slightly blue sky, creating a calm atmosphere. The road curves gently, flanked by sidewalks and green spaces, giving it a spacious and organized layout. Overall, the setting seems to be an urban residential or institutional neighborhood. The restorative indicator scores are:
- Being-away: 0.12192
- Coherence: 0.12543
- Scope: 0.14853
- Fascination: 0.15198
- Average Score: 0.13697"
.\image\201603_120.2643078_31.4898205.png,"This image could taken in Spring. The image shows a wide urban street flanked by trees, motorcycles parked on the sidewalks, and apartment-style buildings. On the left, there's a bus stop area, while the right features open spaces and greenery. The roads are paved with pedestrian crossings and marked lanes, and the environment is quiet with minimal traffic. A few people are visible riding bikes, contributing to the calm atmosphere of the scene. Streetlights and signage are prominent, indicating an organized layout. The sky is partly cloudy, suggesting daytime with bright, natural lighting. The area appears clean and well-maintained, reflecting a typical suburban or campus setting. The restorative indicator scores are:
- Being-away: 0.54316
- Coherence: 0.47041
- Scope: 0.74701
- Fascination: 0.47537
- Average Score: 0.55899"
.\image\201603_120.2647194_31.48264248.png,"This image could taken in Spring. This street view captures a quiet, open area with a wide road flanked by greenery and modern-style buildings. To the left, trees line a pedestrian path near a waterbody, visible through the foliage. On the right, various parked cars rest beside two multi-story buildings, featuring large windows and simple, functional architecture. The setting feels like a business or academic campus, offering a clean and organized environment. The weather is clear, with soft daylight hinting at a calm, pleasant day. The road stretches straight, leading toward more structures in the distance, surrounded by sparse trees and manicured landscaping. The restorative indicator scores are:
- Being-away: 0.31529
- Coherence: 0.25201
- Scope: 0.35142
- Fascination: 0.37797
- Average Score: 0.32417"
.\image\201603_120.2645078_31.48578039.png,"This image could taken in Spring. This panoramic street view image shows a quiet outdoor setting with two intersecting concrete pathways flanked by trees and shrubs. On the left, trees with white-painted trunks are scattered across a trimmed grassy area. To the right, a park-like environment with more aligned trees is visible. In the background stands a large, multi-story modern building with neutral colors, possibly an institutional or corporate structure. The sky is overcast, and the atmosphere appears calm and serene. A vehicle roof, labeled with markings, is visible in the foreground, indicating the photo was captured from a street-view vehicle. The restorative indicator scores are:
- Being-away: 0.12347
- Coherence: 0.25342
- Scope: 0.15083
- Fascination: 0.15222
- Average Score: 0.16998"
.\image\201603_120.264537_31.47988533.png,"This image could taken in Spring. The image captures a wide street flanked by modern buildings, likely part of a campus or office complex. Traffic cones line both sides of the road, possibly for lane diversion or temporary restrictions. The left showcases an organized, multi-story building with numerous windows and air-conditioning units, while the right mirrors similar structures. A landscaped area, with bare trees and trimmed red shrubs, separates the opposing lanes. A couple of pedestrians walk along the sidewalk amidst the serene surroundings. The sky is clear, suggesting a sunny day. The street appears quiet, with no visible vehicular traffic. The restorative indicator scores are:
- Being-away: 0.12581
- Coherence: 0.47147
- Scope: 0.41995
- Fascination: 0.15445
- Average Score: 0.29292"
.\image\201603_120.2647809_31.48176432.png,"This image could taken in Spring. This street view depicts a campus or residential area, flanked by multi-story buildings with large windows. Vehicles, including cars, motorbikes, and bicycles, are parked along both sides of the road. Trees and shrubs line the pathways, creating a clean and organized environment. A raised walkway connects two buildings, while pedestrians and vehicles use the paved road beneath. The setting appears open and sunny, with clear skies and distant hilly terrain visible in the backdrop, indicating a suburban or semi-urban area. The scene suggests a peaceful and well-maintained community setting. The restorative indicator scores are:
- Being-away: 0.12839
- Coherence: 0.12632
- Scope: 0.15035
- Fascination: 0.15674
- Average Score: 0.14045"
.\image\201603_120.2650302_31.4793267.png,"This image could taken in Spring. The street view image shows a clean, organized area with modern buildings on both sides, possibly part of a campus or office complex. There are neatly maintained green spaces with trees and bushes, and a few parked cars and scooters. Pedestrians are seen walking casually, indicating a calm, daily environment. The buildings are multi-storied, featuring straight architectural lines, suggesting functionality. The road splits into two directions, with yellow lane markings, and the atmosphere appears overcast with soft daylight. It seems to be a professional or academic setting, reflecting a structured and peaceful ambiance. The restorative indicator scores are:
- Being-away: 0.39432
- Coherence: 0.66518
- Scope: 0.57268
- Fascination: 0.15861
- Average Score: 0.44770"
.\image\201603_120.2648732_31.47693654.png,"This image could taken in Spring. This street view image shows a broad intersection near a landscaped green park with neatly trimmed trees and shrubs. To the left are white buildings, possibly institutional or residential, with parked vehicles along the road. To the right, a parked bus with teal accents is visible on a marked parking area. In the background, modern high-rise buildings and a hazy sky frame the scene, giving an urban feel with ample green space. The streets are clean, and the area appears quiet and organized, suggesting a well-maintained neighborhood or campus environment. The restorative indicator scores are:
- Being-away: 0.86718
- Coherence: 0.66498
- Scope: 0.57276
- Fascination: 0.80450
- Average Score: 0.72735"
.\image\201603_120.2653326_31.48765038.png,"This image could taken in Spring. The image shows a quiet urban street flanked by modern, multi-story buildings with large windows. The foreground includes a parked white vehicle partially visible from above, and a few parked cars line the street. On the right, a neatly landscaped area with trimmed hedges and small trees separates the road from the adjacent building. On the left, more greenery and buildings are visible, creating a balanced, organized environment. The scene is calm, with no pedestrians present, and hints at being part of an institution or residential complex. The sky is partly cloudy, adding a natural contrast to the urban setting. The restorative indicator scores are:
- Being-away: 0.13039
- Coherence: 0.12780
- Scope: 0.15318
- Fascination: 0.16205
- Average Score: 0.14335"
.\image\201603_120.2653912_31.48545305.png,"This image could taken in Spring. This street view shows a serene urban environment with a combination of natural greenery and modern architecture. The image captures a pathway flanked by trimmed lawns, sparse trees, and a brick-paved walkway, leading toward a tranquil lake with trees lining the water's edge. On the right, white office buildings with glass windows contrast with the natural landscape. Lamp posts and scattered benches offer functional amenities for visitors. The setting appears calm, with a mix of open outdoor spaces and urban design, perfect for walking or relaxation. The overcast sky creates a neutral, subdued ambiance overall. The restorative indicator scores are:
- Being-away: 0.75032
- Coherence: 0.40287
- Scope: 0.68696
- Fascination: 0.54966
- Average Score: 0.59745"
.\image\201603_120.2652633_31.48886.png,"This image could taken in Spring. This panoramic street view showcases a quiet suburban area with two parallel rows of buildings, separated by a narrow road. The left side features light-colored structures with parked cars, while the right side mirrors a similar scene but includes landscaped greenery. A central park space is visible with sparse trees and trimmed grass, intersected by walkways. A streetlamp stands prominently in the center. Parked vehicles line the road on both sides, and the sky is clear with a few clouds, suggesting a calm and relaxed environment. The overall setting appears to be residential or institutional. The restorative indicator scores are:
- Being-away: 0.12853
- Coherence: 0.25127
- Scope: 0.15108
- Fascination: 0.16038
- Average Score: 0.17282"
.\image\201603_120.2656962_31.48813824.png,"This image could taken in Spring. The image features a street view of a modern institutional campus surrounded by multiple beige-colored buildings with large glass windows. At the center is a circular entrance with a glass facade and signage visible above it, likely marking the main building. The area is lined with neatly trimmed greenery and sparse young trees on either side. Several parked cars and motorbikes are visible near the buildings, adding a functional touch to the setting. The clear sky and symmetrical layout suggest a clean, well-organized environment, possibly an educational or administrative facility. The scene is calm and structured. The restorative indicator scores are:
- Being-away: 0.61754
- Coherence: 0.40323
- Scope: 0.49188
- Fascination: 0.55004
- Average Score: 0.51567"
.\image\201603_120.2655459_31.48257222.png,"This image could taken in Spring. This street view captures a split road in a serene urban environment. On the left, there's a curved road bordered by trimmed bushes, trees, and a water body visible in the background. On the right, a straight road runs alongside a modern, boxy multi-story building with large windows and a grid-like façade. The surroundings are landscaped with trees and plants, and parked cars can be seen in the distance. The atmosphere appears calm, with clear skies and soft lighting indicating daytime. The image combines natural and urban elements harmoniously, providing a sense of order and tranquility. The restorative indicator scores are:
- Being-away: 0.31391
- Coherence: 0.47173
- Scope: 0.15462
- Fascination: 0.16259
- Average Score: 0.27571"
.\image\201603_120.2657306_31.49159811.png,"This image could taken in Spring. This street view depicts a quiet urban area with mid-rise residential buildings featuring white and gray facades. Several parked scooters line the right side of the road, while sparse landscaping includes small trees and grassy patches. A fenced-off area with bicycles is visible near one building. The road is relatively empty, leading toward more residential structures in the distance. The scene is under a bright, clear sky, creating an open, peaceful atmosphere, with well-maintained surroundings. The vantage point suggests the image may have been captured using a vehicle equipped with panoramic camera technology. The restorative indicator scores are:
- Being-away: 0.13334
- Coherence: 0.12404
- Scope: 0.15371
- Fascination: 0.16223
- Average Score: 0.14333"
.\image\201603_120.2657142_31.4908704.png,"This image could taken in Spring. The image depicts a wide street within a well-maintained, open urban environment, likely part of a residential or institutional area. Lined with sparse young trees and grassy plots, the surroundings are symmetric and organized. On the left and right are modern multi-story buildings, including residential apartments and possibly educational or administrative structures. Streetlamps, fences, and a paved road add to the orderly atmosphere. The sky is bright yet lightly overcast, suggesting midday. The overall ambiance is calm and structured, with scattered pedestrians in the distance and minimal visible vehicles. The scene likely reflects a suburban or campus-like setting. The restorative indicator scores are:
- Being-away: 0.13163
- Coherence: 0.53655
- Scope: 0.63902
- Fascination: 0.37476
- Average Score: 0.42049"
.\image\201603_120.2657172_31.49242444.png,"This image could taken in Spring. This image shows a clean, well-maintained street lined with trees whose trunks are painted white at the base. The road features a fork to the left and right, flanked by sidewalks and grassy patches. On the left and right sides are low-rise buildings, likely residential or institutional, with large glass windows and modern architectural designs. The scene is bright with clear skies, indicating daylight. Speed restriction and no-honking signs can be seen, suggesting a calm environment. The street appears to lead into a more densely vegetated area in the distance, adding greenery to the setting. Quiet and orderly ambiance. The restorative indicator scores are:
- Being-away: 0.92157
- Coherence: 0.47213
- Scope: 0.63907
- Fascination: 0.55110
- Average Score: 0.64597"
.\image\201603_120.2658085_31.47988536.png,"This image could taken in Spring. The image depicts a wide, clean street divided by traffic cones. A bus stop is visible on the right side, surrounded by neatly trimmed bushes and trees, while pedestrians walk along sidewalks. The environment is urban, with low-rise buildings in the background and green spaces throughout. The sky is clear, suggesting daytime with good weather. Yellow markings are visible on the road, adding organizational detail. The scene appears quiet and organized, reflecting a mix of urban convenience and greenery. The restorative indicator scores are:
- Being-away: 0.46716
- Coherence: 0.47245
- Scope: 0.57441
- Fascination: 0.37330
- Average Score: 0.47183"
.\image\201603_120.2658968_31.49120745.png,"This image could taken in Spring. This street view showcases a spacious urban area with modern architecture, likely a university or campus setting. Multiple low-rise buildings are arranged symmetrically, surrounded by neatly maintained greenery, pathways, and bike-filled parking lots. A small canal with stone bridges divides parts of the area, adding aesthetic charm. The sky is clear, and sparsely parked scooters and pedestrians are visible along the roads, emphasizing a quiet atmosphere. The restorative indicator scores are:
- Being-away: 0.68235
- Coherence: 0.73365
- Scope: 0.68838
- Fascination: 0.67467
- Average Score: 0.69476"
.\image\201603_120.2658797_31.4879122.png,"This image could taken in Spring. This street view image showcases a clean, modern campus-like area flanked by multi-story buildings on either side. The structures are uniform in design, featuring large glass windows and a gray-and-white color palette. Well-maintained greenery, including neatly trimmed hedges and young trees, lines the pathways. The road splits into two walkways leading to the buildings, creating a symmetrical layout. The area appears quiet, with sparse pedestrian activity. The bright sky and orderly landscaping suggest a peaceful, institutional setting, perhaps a university or an office park. Vehicles captured in the image hint at limited traffic. The restorative indicator scores are:
- Being-away: 0.31141
- Coherence: 0.40341
- Scope: 0.15463
- Fascination: 0.47953
- Average Score: 0.33724"
.\image\201603_120.2659111_31.4924366.png,"This image could taken in Spring. This street view image captures a quiet suburban area on a sunny day. The scene features intersecting roads bordered by sidewalks and patches of grass. Trees line the streets, their trunks painted white at the base for protection. On the left side, there is an open, barren field, while on the right, residential buildings with modern architecture and balconies are visible. The area appears clean and well-maintained, with minimal traffic, creating a calm atmosphere. The photo gives a panoramic perspective, emphasizing wide spaces and a balanced blend of urban and natural elements. The restorative indicator scores are:
- Being-away: 0.75224
- Coherence: 0.67246
- Scope: 0.49026
- Fascination: 0.67568
- Average Score: 0.64766"
.\image\201603_120.2661959_31.48506519.png,"This image could taken in Spring. The image shows a serene urban park setting with pathways flanked by greenery and modern buildings. To the left, a multi-story building features a grid-like structure with windows and air conditioning units. The middle area highlights a landscaped park with trees and shrubs, some with white-painted trunks, and a brick-paved walkway leading towards a body of water in the background. To the right, additional buildings and curved paths blend with natural elements, creating a harmonious mix of architecture and nature. The gray sky adds a subdued, tranquil atmosphere to the scene. A vehicle's dome is visible at the bottom foreground. The restorative indicator scores are:
- Being-away: 0.39265
- Coherence: 0.12442
- Scope: 0.15562
- Fascination: 0.37232
- Average Score: 0.26125"
.\image\201603_120.2660501_31.48543143.png,"This image could taken in Spring. This image showcases a courtyard flanked by two gray, multi-story buildings with large windows. Between them lies a landscaped area, featuring sparse trees, shrubs, and a grassy zone littered with fallen leaves. Narrow concrete pathways traverse the space, contributing to a clean and orderly appearance. An industrial-looking green structure is visible on the right side. The overall ambiance appears calm, overcast, and slightly desolate due to the lack of people and the subdued lighting. The scene conveys a functional, urban environment likely tied to residential or institutional usage such as apartments or an office complex. The restorative indicator scores are:
- Being-away: 0.31056
- Coherence: 0.12323
- Scope: 0.15422
- Fascination: 0.37273
- Average Score: 0.24018"
.\image\201603_120.2663003_31.49243729.png,"This image could taken in Spring. This street view depicts a quiet urban area with a paved road lined by trees on both sides. Residential or institutional buildings with multiple windows and air conditioning units dominate the backdrop. Scooters are parked along the sidewalks, hinting at local transport preferences. A person in a yellow jacket walks on the right side, while another is seated on the left. The pathway is organized with tiled pavements and minimal traffic activity. The trees provide shade, and the atmosphere suggests a peaceful neighborhood. Sparse vegetation can be seen beyond the buildings, indicating a blend of urban and natural elements. The restorative indicator scores are:
- Being-away: 0.54681
- Coherence: 0.47143
- Scope: 0.15695
- Fascination: 0.75444
- Average Score: 0.48241"
.\image\201603_120.2666541_31.49027631.png,"This image could taken in Spring. This street view depicts a broad urban road surrounded by buildings and greenery. On the left are a white building with arched windows and a park-like area with trees and stone sculptures. On the right, buildings house businesses, such as ""Food of the Scottish Store,"" with parked cars in the lot. Several vehicles line both sides of the street while others drive along the road. A pedestrian next to a white car stands near the center of the scene. In the distance, modern high-rise buildings are visible under a blue sky with light clouds. The restorative indicator scores are:
- Being-away: 0.83256
- Coherence: 0.61860
- Scope: 0.57388
- Fascination: 0.87044
- Average Score: 0.72387"
.\image\201603_120.2669568_31.48540856.png,"This image could taken in Spring. The street view image depicts a serene campus-like environment with pathways lined by greenery and trees. On the left, a sidewalk has parked motorbikes against a building with large windows. On the right, another brick building is visible, framed by more trees and foliage. The middle area showcases a landscaped section with trimmed grass, scattered trees, and pathways leading to open space. In the background, multi-story buildings suggest an academic or institutional setting. The overcast sky adds a calm ambiance, and the overall scene appears clean and well-maintained. Pedestrians are faintly visible in the distance. The restorative indicator scores are:
- Being-away: 0.39204
- Coherence: 0.12462
- Scope: 0.15757
- Fascination: 0.16200
- Average Score: 0.20906"
